Row,Name,Description,Activation,Prerequisite,Cost,Max,Duration,Drain,Source
68,"Nerve Strike (SR5:SG)","By targeting various nerve clusters in his opponent’s body, an adept with this ability can disable or subdue on opponent without causing physical injury or death. To use this power, the adept must first declare his intention to employ it and then make a normal melee attack. If successful, the adept may choose to reduce his opponent’s Agility or Reaction (attacker’s choice) by 1 per net hit instead of inflicting Physical or Stun damage. If the targeted attribute reaches 0, the target is rendered paralyzed. An attacker must choose only one attribute to target per attack. The target regains lost attribute points with rest: 1 hour of rest recovers 1 lost point.  Nerve Strike works best on metahumans but can also be used against critters. A critter’s nerve clusters are more difficult to target, so two net hits are required to lower the targeted critter’s attribute by 1; all other normal rules apply. Targets without a functioning nervous system, such as spirits, drones, and so on, are unaffected by this power.",Intrinsic,,1.00,1,Constant,0,SR5:SG
69,"Nerve Strike (SR5:SSo)","This power allows an adept to inflict a paralyzing attack, temporarily crippling an opponent by targeting vital nerve clusters. The adept declares he is using the power and makes a normal unarmed melee attack. Instead of inflicting damage, each net hit reduces her opponent’s Agility or Reaction (attacker’s choice) by 1. If a character’s Agility or Reaction is reduced to 0, she is paralyzed and unable to move. Nerve Strike is most effective against metahuman opponents; when used against critters, reduce Agility or Reaction by 1 for every 2 net hits instead. Targets that lack a functional nervous system such as spirits and drones are immune to this power. Subjects that have lost Agility or Reaction in this manner must rest for at least one hour. At the end of the hour, they must make a Body + Willpower Test, with each hit returning 1 point of Agility or Reaction (character’s choice). The character makes another Body + Willpower Test each hour until all Agility and/or Reaction has been restored. Magical healing and First Aid may assist in speeding up this recovery.",Intrinsic,,1.00,1,Constant,0,SR5:SSo
70,"Nimble Fingers (SR5:SG)","Adepts with this ability have exceptional manual dexterity. In game terms, this grants +1 die to Palming Tests, Performance Tests where the adept plays a musical instruments that requires the use of fingers, or any tests where small tools or items are used (gamemaster’s discretion). Additionally, the Simple Actions Change Gun Mode, Insert Clip, Remove Clip, and Use Simple Device are now considered Free Actions.",Intrinsic,,0.25,1,Constant,0,SR5:SG
71,"Nimble Fingers (SR5:SSo)","The Nimble Fingers power allows the adept to perform simple reflex and timing tricks more efficiently and effectively. It adds a +1 dice pool modifier to Palming and other slight-of-hand tests involving manual dexterity. Additionally, Insert Clip, Pick Up/Put Down Object, Remove Clip, and Use Simple Object are considered Free Actions for the adept.",Intrinsic,,0.25,1,Constant,0,SR5:SSo
72,"Pain Relief","Similar to Nerve Strike but nicer, an adept channels mana into qi/chakra points to relieve tension, pain, and muscle fatigue. In game terms, this means removing the effects of Stun damage from a target. To use this power, the adept makes a Magic + Agility Test against a target. Every net hit temporarily removes one box of Stun damage from the target; normal rules for healing patients with implants still apply (p. 208, SR5). This effect only lasts for (Magic) hours or until the actual damage is healed, whichever comes first. The time necessary to complete the process is five minutes per box removed, and the adept must maintain contact with the target. Should the adept lose contact with the target for any reason before the process is complete, all benefits are immediately lost and the adept must repeat the process.",Intrinsic,,1.00,1,Constant,0,SR5:SG
73,"Pain Resistance","Pain resistance allows you to ignore the effects of injury (but not the actual damage). For every level of pain resistance, the wound modifiers on the Condition Monitor move one box farther down the chart, so that with 1 level of this power, you take the –1 penalty after 4 boxes of damage instead of 3. If you have 2 levels of the power, the penalty doesn’t kick in until you have 5 boxes of damage. Pain Resistance works equally on the Physical and Stun Condition Monitors. Pain Resistance also allows you to resist pain from torture, magic, illness, etc. Each level adds +2 dice to any test you make to withstand suffering.",Intrinsic,,0.50,99,Constant,0,Core
74,"Penetrating Strike","This ability allows an adept to focus and project an unarmed attack a short distance forward, bypassing armor the target may have or punching through their thick, stubborn hide. In essence, this gives the adept’s attack an AP rating equal to the levels she has in this power (maximum 4). This power can be used in conjunction with the Killing Hands power but not Elemental Strike.",Intrinsic,,0.25,4,Constant,0,SR5:SG
75,"Piercing Senses","This power grants the adept an increased ability to identify illusions and related effects. The adept gains a +1 dice pool modifier to resist illusion-based effects for each level of this power.",Intrinsic,,0.25,99,Constant,0,SR5:SSp
76,"Plague Cloud","This power surrounds the adept in a dense cloud of fumes, insects, or other pollutants or toxins. All ranged attacks made while the power is active (either against or by the adept) are considered to be in at least Moderate Fog/Smoke (see Ranged Attack Modifiers, p. 173, SR5). If anyone makes a successful melee attack against an adept with this power is active, the attacker must resist the damage effects of pollution (see sidebar, p. 105).","Free Action",,0.50,1,Constant,0,SR5:SG
77,"Power Swimming","Adepts with this power are banned from Olympic events, as they swim with the grace and speed of a marine mammal. The adept’s swimming rate is doubled (p. 137, SR5), and each hit on a Swimming Test gains an additional 2 meters of distance, 4 meters for elves and trolls.",Intrinsic,,1.00,1,Constant,0,SR5:SSp
78,"Precision Throwing","Adepts with this power go far beyond the limit of their physical form when it comes to getting their thrown weapons to strike their targets. For the purposes of determining Range only, treat the adept as having 2 additional Strength per level of this power.",Intrinsic,,0.25,3,Constant,0,SR5:HT
79,"Rapid Draw","No longer limited to pistols, the Rapid Draw power can be used by the adept to rapidly and more easily employ a variety of weapons in combat. Any weapon that is properly holstered can be quick-drawn; this includes blades, pistols, and throwing weapons. To use this ability, the adept makes a standard quick draw test (p. 165, SR5) but the threshold for this test is decreased by 1; this is cumulative with the use of a quick-draw holster. Also, with this power, a Quick Draw action is considered a Free Action.  For the purposes of this power, larger weapons such as SMGs, shotguns, or assault rifles attached to slings and/or held in front of the adept at the “low ready” position are also considered holstered and can be quickdrawn as such.",Intrinsic,,0.50,1,Constant,0,SR5:SG
80,"Rapid Healing","You recover from damage more quickly, magically healing yourself over periods of time. Add +1 die per level to your Body for Healing Tests. Also add +1 die per level to any tests made to heal you through magical or mundane means (such as a Heal spell or the First Aid skill), whether the attempt is made by you or another character.",Intrinsic,,0.50,99,Constant,0,Core
81,Riposte,"Similar to Counterstrike, Riposte is used during armed melee combat to redirect an attacker’s energy against them. To employ this power, an adept must first use a successful Parry action against an incoming attack and spend his next available action to make a melee combat attack. For the adept’s next melee combat attack test, add a number of dice equal to his levels in Riposte and the net hits from the Parry. Engaging in any other action before attacking, even Dodge or Full Defense, negates the bonuses gained from this power. Note: This power cannot be combined with the Riposte and Yielding Force Martial Arts techniques (p. 125 and 141, Run & Gun).","Interrupt (-5 Initiative)",,0.50,99,Constant,0,SR5:SG
82,Rooting,"Rooting allows an adept to become a nearly immovable object with a Simple Action. The power provides +1 to the adept’s Physical Limit for Knockdown (p. 194, SR5) only. It also provides a +1 dice pool modifier to any test resisting being knocked down, levitated, or otherwise being displaced against their will. The adept cannot move while the power is active, and she takes a –3 dice pool penalty to Dodge, Block or Parry tests while the power is active. The power can be canceled with a Free Action.","Simple Action",,0.25,99,Constant,0,SR5:SSp
83,Skate,"This power is a minor form of levitation that gives an adept the ability to run across a surface that she normally wouldn’t be able to, such as thin ice, a fragile structure, or water. The adept pushes off with her first step as she moves across the target surface before she stops. The distance an adept can traverse is equal to her Magic rating in meters. Attempting to traverse further distances requires the adept to find a stable surface or landing area to repeat the process; those who fail to find such a surface fall through whatever they are moving across. An adept attempting an acrobatic move or defensive Interrupt Action while using this power suffers a –3 dice pool penalty to her dice pool for the acrobatic or interrupt test.",Intrinsic,,1.00,1,Constant,0,SR5:SG
84,"Smashing Blow","Adepts with this power focus their magic into a single unarmed strike to break through obstacles. Multiply the adept’s base DV by 2 when attacking a barrier or other static structure. This applies to both physical and magical barriers.",Intrinsic,,1.00,1,Constant,0,SR5:SG
85,"Spell Resistance","You are inherently resistant to spells. Add +1 die per level to Resistance Tests against spells, spell rituals, alchemical preparations, or Innate Spell critter power (but not other critter powers). Spell Resistance does not interfere with spells that you choose not to resist.",Intrinsic,,0.50,99,Constant,0,Core
86,"Spirit Claw","Named by the Beast’s Way Sioux adept that discovered it, Spirit Claw allows the adept to temporarily create a small weapon of spiritual energy for use against spirits. While the discoverer’s manifestation of this power appeared as a set of oversized claws, others with this power have learned to form whatever weapon they desire—clubs, hammers, daggers, spikes, and so on—based on their particular Way or paradigm. Activated with a Free Action, Spirit Claw adds (Magic x 0.5) to the adept’s unarmed DV against spirits (regardless of whether the combat is physical or astral). It remains active for (Magic x 0.5) Combat Turns or when the adept deactivates it with a Free Action or strikes with it. To use Spirit Claw again, the energies must be re-channeled by spending another Free Action. Against spirits, this power can only be combined with the Killing Hands power.","Free Action",,0.25,1,Constant,0,SR5:SG
87,"Spirit Ram","Similar to Spirit Claw, Spirit Ram creates a temporary, ram shape—horns, ram’s head, wedge, spikes, and so forth—in front of the adept for charge attacks against spirits in either physical or astral combat. The Reach of this weapon is (Magic x 0.5) meters, and its DV is (Magic) with AP – (Magic x 0.5). Spirit Ram moves with the adept and remains active for (Magic x 0.5) Combat Turns or when the adept deactivates it with a Free Action or strikes with it. To use Spirit Ram again, the energies must be re-channeled by spending another Simple Action.","Simple Action",,0.50,1,Constant,0,SR5:SG
88,Stillness,"This power allows an adept to exert control over her body to avoid detection. By slowing her physiological processes (heart rate, breathing, and the need to flex muscles) and entering a relaxed state, the adept becomes completely motionless for a specific amount of time. Her body’s heat signature is also lessened, making the adept harder to detect by thermographic means. For every level of this power, the adept can remain in this state for approximately one hour. Anyone using auditory or thermographic means to locate or perceive an adept using this power receives a negative penalty equal to the level of the adept’s power. Visual searches or Perception Tests are unaffected by this power. This power is negated as soon as the adept moves.",Intrinsic,,0.25,3,Constant,0,SR5:SG
89,Sustenance,"Adepts with this power have exceptional metabolisms and can function with less food and water than normal. An average metahuman requires approximately three meals per day to maintain normal functions before fatigue damage begins. An adept with this power needs only one meal per day. In game terms, the intervals for hunger and thirst are increased to seven days for hunger and three days for thirst (p. 172, SR5).",Intrinsic,,0.25,1,Constant,0,SR5:SG
90,"Temperature Tolerance","This power allows adepts to better withstand the effects of extreme temperatures. For every level in this power, the adept gains a +1 dice pool bonus for resisting damage caused by extreme temperature exposure (p. 172, SR5). This also can be used against magical effects such as elemental fire or cold (p. 170–171, SR5).",Intrinsic,,0.25,99,Constant,0,SR5:SG
91,"Three-Dimensional Memory","Three-Dimensional Memory allows an adept to mentally record an area he has visited and then later recall it in ultra-clear detail. This ability is favored by adept investigators and recon specialists. To use this ability, the adept in question must use a Complex Action to view the targeted area in detail. This includes what he actually observed, but also any sensations he felt. The range of what the adept can observe is (Magic x Magic) cubic meters. He can record a number of areas equal to his Magic rating.  To recall what he recorded, the adept requires a Perception + Magic [Mental] test. What area he’s able to remember depends on what he was actually able to observe—for example, he wouldn’t know the contents of a closed cabinet but will remember the cabinet’s features in detail—and how long ago he observed the scene. To determine the threshold for the test, see the Three Dimensional Memory Table. If the threshold is reached, the adept can mentally walk through the scene and recall everything he mentally recorded; however, he will be unable to interact with anything in the scene.",Intrinsic,,0.50,1,Constant,0,SR5:SG
92,"Toxic Strike","Toxic adepts with this power can channel either pollutants or radiation to an Unarmed Combat attack to cause extra elemental damage. The use of this ability follows the same rules and guidelines as the Elemental Strike power (p. 170). Each toxic elemental effect must be purchased as a separate power.","Simple Action","Killing Hands",0.50,1,Constant,0,SR5:SG
93,"Traceless Walk","You can move over surfaces—even snow, sand, or thin paper—without leaving visible traces. You make no noise through contact with the floor (though movement may still cause other sounds), and any hearing-based Perception Tests to detect you suffer a –4 dice pool penalty. You don’t trip ground-vibration or pressure sensors. You can’t walk across liquid surfaces—you’re magical, not miraculous—but you can walk across deep snow without sinking. While you can be tracked by non-visual cues such as scent, even those Track Tests are more difficult and get a –2 dice pool penalty.",Intrinsic,,1.00,1,Constant,0,Core
94,"Transmit Damage","This power allows an adept with Killing Hands to channel any physical damage he has taken into an unarmed attack and transmit it into his target. The attack is resolved using the standard rules for unarmed combat. For each box of unresisted physical damage the adept deals to his opponent, remove one box from his Physical Condition Monitor. The maximum number of boxes that can be transferred in this way is equal to the adept’s level in the power. Stun damage cannot be transmitted.",Intrinsic,,1.00,99,Constant,0,SR5:BB
95,"Voice Control","You get an amazing level of control over the properties of your voice. You can change your voice’s pitch, modulation and tone at will, as well as increase your volume. You can mask your voice and imitate sounds within the normal range of metahuman vocalization (no infrasound or ultrasound) and mimic the voices of others. If you use this trick to fool a person or a voice recognition system, make an Opposed Test using your Impersonation + Charisma [Mental] against the voice recognition system’s Rating x 2, or against the Perception + Intuition of characters the adept is attempting to fool, adding the level of this power as a bonus to your dice pool.  You can also adjust your voice to generate positive social effects, giving you +1 per level to your Social limit.",Intrinsic,,0.50,99,Constant,0,Core
96,"Wall Running","You can run up sheer walls or other vertical surfaces a limited distance. Make a Running + Strength [Magic] Test, with hits indicating the number of meters you may climb up in an action phase. If you want to run up longer distances, you’ll need steps, ledges, or somewhere you can stop and then use this power again. If you want to run across a vertical surface instead of up it, you can do so by combining this power with a Sprint action (p. 162). At the end of your movement, you fall off the wall, whether you made it as far as you wanted or not.","Simple Action",,0.50,1,"Single Action Phase",0,Core
97,"Keratin Control","The adept has the ability to accelerate their hair, nail, and horn growth within the limits of the adept’s metatype. The adept can go from short, professional appearance to street chic in a matter of hours. The power also allows any hair grown to be straight or curly at the adept’s discretion. Full beards and long hair normally take six hours to grow, but the growth can be accelerated at the cost of one unresisted box of Stun Damage per hour reduction in growth time.","Free Action",NULL,0.50,1,Constant,0,SR5:SSp
