Row,Name,SpellType,Action,Range,Duration,PowerType,Source,Description
54,Inhabitation,Physical,Auto,Self,Special,Spirit,SR5:SG,"Most spirits can only affect the physical world by materializing or possessing a vessel. A spirit with Inhabitation exists on the physical plane continuously after it has merged with a prepared vessel. The spirit cannot be separated with Banishing, and the spirit cannot voluntarily leave the vessel. An inhabiting spirit is only disrupted when its vessel is either destroyed or killed from Physical damage overflow (p. 209, SR5). If the inhabited vessel is living, the spirit gains complete control of the body and access to some or all of the vessel’s memories. During merging, the vessel’s original spirit is consumed (if present) and that character is lost (though gamemasters may decide otherwise, if appropriate to their stories).  To inhabit a vessel, a spirit requires a prepared vessel (p. 135) in a magical lodge with a Force at least equal to the spirit’s Force. Once the vessel has been enchanted, the spirit may use Inhabitation on it. The Inhabitation process takes a number of days equal to the spirit’s Force. At the end of that period, the spirit makes an Opposed Test using its Force x 2 against the vessel’s Willpower + Intuition. The spirit’s conjurer (if any) may influence the result by adding his Binding skill to either dice pool. If the spirit is attempting to inhabit a nonliving vessel, the spirit rolls Force x 2 against the vessel’s Object Resistance dice pool (p. 295, SR5). The number of net hits determines the resulting form. If the spirit gets a critical glitch, the merge is unsuccessful, and the vessel is immune to further inhabitation attempts by that spirit.   The Inhabitation process is trying for both spirit and vessel. If the vessel is removed from the magical lodge before the merge is complete, the spirit and host generally die (though the gamemaster is entitled to make exceptions for hosts). At the end of the inhabitation period, the spirit takes full control over the host; the type of form depends on the Opposed Test results, as follows:"
55,"Magical Guard",Mana,Free,LOS,Instant,Spirit,SR5:SG,"A critter with the Magical Guard power can use the Counterspelling skill and provide spell defense and dispel spells the same as a magician’s ability (p. 294, SR5)."
56,"Mind Link",Mana,Simple,LOS,Sustained,Spirit,SR5:SG,"A critter with the Mind Link power can open and maintain telepathic communication with another sapient creature. The spirit can maintain a number of simultaneous mental links equal to its Magic attribute. If multiple sapients are engaged via Mind Link with the same spirit, they may communicate freely with each other as well as with the original spirit."
57,Mutagen,Physical,Complex,Self,Sustained,Spirit,SR5:SG,"A being can use the Mutagen power to magically enhance its physical body at the expense of its mental abilities. While using the power, it can shift a maximum of (Magic) attribute points from Mental to Physical attributes. This power can be used by possessing spirits, shifting Mental attribute points from the spirit to the vessel’s Physical attributes. Shifting in or out of mutated form requires a Complex Action. Instead of shifting attribute points, a gamemaster may choose to use this power to generate a new physical feature, like a tail, claw, or new eye."
58,Pestilence,Physical,Auto,Touch,Instant,Spirit,SR5:SG,"The critter carries non-magical, contagious infection that may infect characters that come in contact with it (or its secretions). Treat this disease as a toxin (p. 408, SR5) with the following attributes:"
59,Possession,Physical,Complex,Touch,Special,Spirit,SR5:SG,"Some spirits are incapable of materializing, so they must possess vessels in order to interact with meat space. During a possession attempt, the spirit uses the vessel’s aura as a temporary conduit to the physical plane. The spirit makes an Opposed Test by rolling its Force x 2 against the vessel’s Intuition + Willpower for living vessels or the Object Resistance dice pool of an inanimate vessel. A prepared vessel (p. 135) gives the spirit a +6 dice pool modifier. If the spirit fails, it is forced back to the astral plane. If the spirit succeeds, both spirit and vessel are considered a single dual-natured entity (p. 395, SR5) for the possession’s duration.  A possessing spirit may be forced back to the astral plane with a Banishing Test (p. 301, SR5). If the possession attempt fails or the spirit is banished, that spirit cannot attempt to possess that vessel again until the next sunrise or sunset."
60,Quake,Physical,Complex,Special,Instant,Spirit,SR5:SG,"The spirit can create earthquakes with potentially devastating effects. The quake affects an area with a radius of (Force) kilometers, and the shaking persists intermittently for (Force) minutes. Areas especially vulnerable to earthquakes are usually not areas that receive them frequently, as people in vulnerable areas tend to build dwellings with earthquakes in mind. The spirit makes a Magic + Willpower Test and the number of hits represents the magnitude of the quake, as noted on the Quake Table.  While the effects of an individual quake are highly dependent upon the conditions of surrounding soil, the quality of engineering, and the preparedness of the surrounding citizenry, the following guidelines can be used (generally, a quake includes the effects on the line for its number of hits as well as all the other effects for a smaller number of hits):"
61,"Realistic Form",Physical,Auto,Self,Special,Spirit,SR5:SG,"A spirit with Realistic Form can be mistaken for a normal physical creature or object when it materializes, or it appears unremarkable when joined to a vessel. A spirit that appears as a metahuman would have a heartbeat and a regular breathing rate. A spirit that appeared as an object mimics the object’s normal functionality; for example, a toaster could be plugged into the wall to toast bread (though it would have no Matrix link, making it an antique toaster). The spirit is in no way disguised from the astral plane, but to physical observation appears to any senses to be a natural part of the physical world.  Note that spir its with the Mater ialization power normally only have one mater ialized form. Mater ializing spir its with this power can choose to appear using Realistic Form or their normal mater ialized form. A fire elemental can still appear as a column of angr y flames but might also be able to appear as a beautiful woman."
62,Reinforcement,Physical,Complex,Touch,Special,Spirit,SR5:SG,"This power strengthens the resistance of natural and constructed materials. To fortify materials, the spirit must take a Force x 2 [Force] (square meters, 1 hour) Extended Text. If successful, the spirit’s Force is added to the Structure and Armor Ratings. Multiple applications of Reinforcement are not cumulative, and only the highest effect counts."
63,"Sense Link",Mana,Simple,Special,Sustained,Spirit,SR5:SG,"A critter with the Sense Link power can share sensory data with its summoner (and vice versa). The summoner experiences the critter’s emotions (at a low level) and can send simple commands, which the critter may not understand or follow, especially if the command places them in danger. An Intuition + Charisma Test, opposed by the critter’s Willpower + Intuition, may be used to persuade the critter to obey. In addition, the summoner can experience one of the critter’s senses with a Simple Action; with each Simple Action expended, the summoner can choose which sense to experience. Augmented senses (whether they are magically augmented or otherwise) in the summoner do not work through the critter. The range of this power is equal to (Magic x 50 meters). If the critter is hurt while the link is intact, the summoner must resist Stun damage equal to the damage inflicted on the critter with a Willpower + Magic Test."
64,"Shadow Cloak",Physical,Free,Self,Sustained,Spirit,SR5:SG,"This power allows a creature to envelop itself in utter darkness, making it appear to be a shadow. Shadow Cloak is useless in full daylight and unnecessary in complete darkness; other lighting conditions make it difficult to see the creature using this power. Apply a –2 dice pool modifier to Perception Tests for detecting the creature in Normal Light, –4 dice pool modifier in Partial Light, and a +1 dice pool modifier in Glare conditions."
65,Silence,Physical,Complex,Special,Sustained,Spirit,SR5:SG,"A creature with this power can surround itself in a sphere of silence with a radius equal to the creature’s Magic in meters. Sounds from within the area are muffled, and sounds entering the area are harder to hear by the creature or anyone else. Sound-based Perception Tests and the Damage Value of sound-based attacks are reduced by the spirit’s Magic."
66,"Sonic Projection",Physical,Complex,Special,Sustained,Spirit,SR5:SG,"This power affects everyone within earshot—except for spirits of the same type—and creates a deafening and distracting buzz. The spirit makes an Opposed Test using its Force x 2 against each target’s Willpower. Sound dampers and spells like Hush/Silence provide additional dice to the defender equal to their Rating or the hits the caster scored. Each of the spirit’s net hits provides a negative dice pool modifier on all tests for as long as the buzzing is sustained."
67,Storm,Physical,Complex,Special,Special,FreeSpirit,SR5:SG,"A spirit with this power can send a massive, destructive elemental storm against a targeted area. Icy rain, bolts of lightning, gale-force winds, and more strike the area. The affected area’s radius equals the spirit’s Magic x 100 meters. The spirit makes a single Unarmed Combat + Magic [Force] Test, and all characters, creatures, and objects in the area are considered subject to Suppressive Fire (p. 179, SR5). The storm’s base Damage Value is (Force)P."
68,"Astral Projection",Mana,Complex,Self,Special,FreeSpirit,SR5:SG,"The spirit can astrally project, just like a magician (p. 313, SR5). This power is only available to spirits with the Inhabitation power. A spirit that does not return to its body after (Force x 2) hours is disrupted."
69,"Mutable Form",Physical,Auto,Self,Special,FreeSpirit,SR5:SG,"Spirits normally materialize with the same form every time, but Mutable Form allows the spirit to appear differently each time. The spirit’s aura is unchanged, however. If the spirit also has the Realistic Form power (p. 198), add the spirit’s Force to any Disguise Tests (p. 133, 136, SR5) it makes to impersonate someone. This power is only available to spirits with Materialization."
70,"Personal Domain",Mana,Auto,LOS,Sustained,FreeSpirit,SR5:SG,"The spirit leaves its personal mark over an area of astral space, up to 10,000 square meters per point of Force. Over time this area accumulates a background count aspected toward the tradition the spirit represents (p. 30). The gamemaster determines how quickly the background accumulates, but the process should take months or longer, and the background count should not exceed the spirit’s Force / 2."
71,Regeneration,Physical,Auto,Self,Always,FreeSpirit,SR5:SG,"Similar to the critter power of Regeneration (p. 400, SR5), this power only applies to the spirit’s materialized, possessed, or inhabited form. If the spirit possesses or inhabits a formerly living vessel, the vessel slowly regenerates back to its living form. For example, a wooden homunculus begins to grow new leaves, and a corpse regains a semblance of life."
72,"Spirit Pact",Mana,Special,Special,Special,FreeSpirit,SR5:SG,"A spirit with this power can enter into one or more spirit pacts (p. 137). The gamemaster has the final say on what pacts a spirit can enter into. For rules about conducting a spirit pact, see Spirit Pact (Contractual), p. 136."
73,"Hidden Life",Physical,Complex,Touch,Permanent,GreaterSpirit,SR5:SG,"The spirit uses this power to permanently place its life force in a creature, place, or object. As long as the hiding place remains safe, the spirit cannot be permanently banished or destroyed by any means. The spirit is able to return after a year and a day if banished with its spirit formula, but a character holding the spirit formula may call the spirit sooner.  The hiding place gains Immunity to Normal Weapons with a Magic equal to the spirit’s and Immunity to Age (p. 397, SR5). If the hidden life holder is destroyed, the life force returns to the spirit, and the spirit is treated normally."
74,"Energy Drain (karma)",Mana,,,,GreaterSpirit,SR5:SG,
75,"Vessel Trading",Physical,Complex,Touch,Instant,GreaterSpirit,SR5:SG,"A spirit with Possession may choose to evict the life force of a living vessel, either by ejecting the victim’s life force as an astrally projecting creature or putting the victim’s life force in the spirit’s old vessel. If the old vessel already contains a life force that was subdued by Possession, the victim is forced to astrally project instead. Follow the standard rules for the Possession power (p. 197). Victims placed into a living or nonliving vessel cannot control the vessel like a possessing spirit and are trapped there. The only possible methods of escape is if a free spirit with this power switches them back, the victim can astrally project, or the vessel is exposed to an astral rift or an entity with the Astral Gateway power (p. 194). A victim trapped in an inanimate vessel or astral space will feel his life force ebbing away, and he will die after (Magic or Essence) x 2 hours."
76,Wealth,Physical,Complex,LOS,Special,GreaterSpirit,SR5:SG,"A spirit with this power can generate precious metals, jewels, and other rare items of great value. Where these items come from is a question no spirit has answered. Once per month, the spirit may make a Magic + Edge [Force] Test. Every hit generates 10,000 nuyen worth of mineral alchemical reagents, usually precious metals or gems. These permanent creations indefinitely carry the spirit’s astral signature. The markets being what they are, characters may find it difficult to sell magical gems.A spirit with this power may also create a similar amount of temporary wealth each day, but the next time the suns sets or rises, these valuable items vanish or transform into dirt or other worthless substances. Because of this, savvy businessmen are reluctant to purchase magical gold."
