Row,Name,Type,Accuracy,Ammo,ArmorPenetration,Availability,Cost,DamageValue,Description,Modes,Modifiers,Reach,RecoilCompensation,StandardUpgrades,Wireless,Source,Skill,SkillRow,Mounts,Container
73,"Ranger Arms SM-5","Sniper Rifle",8,15(c),-5,16F,"28,000¥",14P,"A legendary assassin’s weapon, this sniper rifle features a silencer, an imaging scope, and a rigid stock with shock pad. The SM–5 disassembles completely in order to fit into a standard briefcase; setting it up or breaking it down takes an Extended Firearms + Logic [Mental] (6, Complex Action) Test. While deadly, the SM–5 is fragile. At the end of every Combat Turn in which the weapon is used in a running firefight, reduce its Accuracy by 1 (to a minimum of 3). If the weapon is used in combat as a melee weapon or to defend from a melee attack, reduce its Accuracy by 2 (again to a minimum of 3). Recalibrating the weapon (a one-hour job) returns its Accuracy to normal.",SA,"Silencer, Imaging Scope, Rigid Stock with Shock Pad",,-1,,,Core,Longarms,101,"Top, Under, Barrel, Side, Internal, Stock",1
74,"Remington 950","Sniper Rifle",7,5(m),-4,4R,"2,100¥",12P,"This high-powered bolt-action hunting rifle features classic wooden furniture and a top-mounted imaging scope that have kept it popular with hunters for several decades. It cannot mount underbarrel accessories.",SS,"TOP:Imaging Scope, UNDERBARREL:No Accessories Possible",,,,,Core,Longarms,101,"Top, Barrel, Side, Stock",1
75,"Ruger 100","Sniper Rifle",6,8(m),-3,4R,"1,300¥",11P,"This futuristic-looking gas-operated sporting rifle is the favorite weapon for many professional hunters and hobbyists. It features a built-in imaging scope and a rigid stock with shock pad.",SS,"Integrated Imaging Scope, Rigid Stock with Shock Pad",,-1,,,Core,Longarms,101,"Top, Under, Barrel, Side, Internal, Stock",1
76,"Terracotta ARMS AM-47","Sniper Rifle",7(9),18(c),-4,14F,"35,000¥",15P,"The AM-47 is a large sniper rifle, primarily intended for the larger metahuman species. The rifle features a number of advanced electronics to assist the shooter in destroying their target. The AM-47 is provided with an imaging scope, smartgun system, underbarrel weight, bipod, and a safe target system with an extended barrel for increased range over the competition.",SA,,,1(3),"Bipod, commlink (Device Rating 5), imaging scope (low-light vision, image link, vision magnification), smartgun",,SR5:R&G,Longarms,101,"Top, Under, Barrel, Side, Internal, Stock",1
77,AK-97,"Assault Rifle",4,38(c),-2,4R,950¥,10P,"The AK-97 is a legendary weapon with storied reliability—you can bury it for ten years, dig it up, and fire it immediately without a single problem. When all of the nano-fabricated AK–174s melted to slag, the AK-97s kept functioning just fine.",SA/BF/FA,,,,,,Core,Automatics,92,"Top, Under, Barrel, Side, Internal, Stock",1
78,AK-98,"Assault Rifle",5,38(c),-2,8F,"1,250¥",10P,"This rifle is an AK-97 with an integral under-barrel grenade launcher. Recently removed from the Russian inventory as it has largely been replaced by the AN-39, it is still being manufactured for export customers.",SA/BF/FA,,,,,,SR5:R&G,Automatics,92,"Top, Under, Barrel, Side, Internal, Stock",1
79,"AK-98 Grenade Launcher","Assault Rifle",3,6(m),,,,,,SS,,,,,,SR5:R&G,Automatics,92,"Top, Under, Barrel, Side, Internal, Stock",1
80,"Ares Alpha","Assault Rifle",5(7),42(c),-2,11F,"2,650¥",11P,"Specially designed for Ares Firewatch special forces, the Alpha has since become a multi-platinum best-selling success the world over, seeing use with UCAS Special Forces. In part, this is due to its exceptional brand awareness, and also because of its underbarrel grenade launcher, smartgun system, and an expensive chamber design that provides 2 points of Recoil Compensation.",SA/BF/FA,"UNDERBARREL:Grenade Launcher, SmartGun",,2,,,Core,Automatics,92,"Top, Under, Barrel, Side, Internal, Stock",1
81,"Ares Alpha Grenade Launcher","Assault Rifle",4(6),6(c),,,,Grenade,"Specially designed for Ares Firewatch special forces, the Alpha has since become a multi-platinum best-selling success the world over, seeing use with UCAS Special Forces. In part, this is due to its exceptional brand awareness, and also because of its underbarrel grenade launcher, smartgun system, and an expensive chamber design that provides 2 points of Recoil Compensation.",SS,"DV 4(6), Mode SS, Ammo 6©",,,,,Core,Automatics,92,"Top, Under, Barrel, Side, Internal, Stock",1
82,"Ares HVAR","Assault Rifle",5(7),50(c),,11F,"2,400¥",8P,"The longest continually produced member of Ares’ hyper velocity line, the HVAR is a complete small arms solution. It features an integral smartlink, a rigid stock with shock pad and a custom recoil reduction system, which is optimized for the weapon’s high rate of fire. Capable of accepting limited modification, the HVAR’s barrel is unable to support further additions.",SA/BF/FA,,,3(4),,,SR5:R&G,Automatics,92,"Top, Under, Barrel, Side, Internal, Stock",1
83,"Colt M23","Assault Rifle",4,40(c),-2,4R,550¥,9P,"This cheap, mass-produced, no-frills assault rifle is loved both by the gangbangers and pirates who can manage to get their hands on one and by the pros who are looking for something to modify from the ground up.",SA/BF/FA,,,,,,Core,Automatics,92,"Top, Under, Barrel, Side, Internal, Stock",1
84,"FN HAR","Assault Rifle",5(6),35(c),-2,8R,"1,500¥",10P,"This assault rifle is supremely popular with private security forces and corporate threat-response teams. It features a laser sight and a gas-vent 2 system.",SA/BF/FA,"Laser Sight, Gas-Vent (2)",,2,,,Core,Automatics,92,"Top, Under, Barrel, Side, Internal, Stock",1
85,"HK XM30, Assault Rifle","Assault Rifle",6(8),30(c),-2,15F,"4,500¥",9P,"The XM30 is H&K’s modular weapon system. Each kit comes with a shock-pad-equipped stock, smartgun system, imaging scope, two underbarrel secondary weapons, a secondary feed mechanism, and four different barrels along with a bipod for the heavy options. The XM30 is intended to equip entire military or police units with the ability to change roles based on the operational situation.",SA/BF/FA,,,-1,"Imaging scope, shock pad, smartlink",,SR5:R&G,Automatics,92,"Top, Under, Barrel, Side, Internal, Stock",1
86,"HK XM30, Carbine","Assault Rifle",6(8),30(c),-2,,,9P,"The XM30 is H&K’s modular weapon system. Each kit comes with a shock-pad-equipped stock, smartgun system, imaging scope, two underbarrel secondary weapons, a secondary feed mechanism, and four different barrels along with a bipod for the heavy options. The XM30 is intended to equip entire military or police units with the ability to change roles based on the operational situation.",SA/BF/FA,,,-1,"Imaging scope, shock pad, smartlink",,SR5:R&G,Automatics,92,"Top, Under, Barrel, Side, Internal, Stock",1
87,"HK XM30, Sniper","Assault Rifle",7(9),10(c),-2,,,9P,"The XM30 is H&K’s modular weapon system. Each kit comes with a shock-pad-equipped stock, smartgun system, imaging scope, two underbarrel secondary weapons, a secondary feed mechanism, and four different barrels along with a bipod for the heavy options. The XM30 is intended to equip entire military or police units with the ability to change roles based on the operational situation.",SA,,,2(3),"Imaging scope, shock pad, smartlink",,SR5:R&G,Automatics,92,"Top, Under, Barrel, Side, Internal, Stock",1
88,"HK XM30, LMG","Assault Rifle",6(8),100(belt),-2,,,9P,"The XM30 is H&K’s modular weapon system. Each kit comes with a shock-pad-equipped stock, smartgun system, imaging scope, two underbarrel secondary weapons, a secondary feed mechanism, and four different barrels along with a bipod for the heavy options. The XM30 is intended to equip entire military or police units with the ability to change roles based on the operational situation.",BF/FA,,,2(3),"Imaging scope, shock pad, smartlink",,SR5:R&G,Automatics,92,"Top, Under, Barrel, Side, Internal, Stock",1
89,"HK XM30, Shotgun","Assault Rifle",3(5),10(c),-1,,,10P,"The XM30 is H&K’s modular weapon system. Each kit comes with a shock-pad-equipped stock, smartgun system, imaging scope, two underbarrel secondary weapons, a secondary feed mechanism, and four different barrels along with a bipod for the heavy options. The XM30 is intended to equip entire military or police units with the ability to change roles based on the operational situation.",SA,,,-1,"Imaging scope, shock pad, smartlink",,SR5:R&G,Automatics,92,"Top, Under, Barrel, Side, Internal, Stock",1
90,"HK XM30, Grenade Launcher","Assault Rifle",4,6(c),,,,,"The XM30 is H&K’s modular weapon system. Each kit comes with a shock-pad-equipped stock, smartgun system, imaging scope, two underbarrel secondary weapons, a secondary feed mechanism, and four different barrels along with a bipod for the heavy options. The XM30 is intended to equip entire military or police units with the ability to change roles based on the operational situation.",SS,,,,"Imaging scope, shock pad, smartlink",,SR5:R&G,Automatics,92,"Top, Under, Barrel, Side, Internal, Stock",1
91,"Nissan Optimum II","Assault Rifle",5(7),30(c),-2,10F,"2,300¥",9P,"The standard weapon of the Imperial Japanese military, the Optimum II is getting a long in the tooth. The weapon gained mass-media fame with General Saito’s troop’s performance in San Francisco. It has a recoil-absorbing shock pad and a smartgun system.",SA/BF/FA,,,1,,,SR5:R&G,Automatics,92,"Top, Under, Barrel, Side, Internal, Stock",1
92,"Nissan Optimum II, Shotgun","Assault Rifle",4(6),5(m),-1,,,10P,"The standard weapon of the Imperial Japanese military, the Optimum II is getting a long in the tooth. The weapon gained mass-media fame with General Saito’s troop’s performance in San Francisco. It has a recoil-absorbing shock pad and a smartgun system.",SA,,,1,,,SR5:R&G,Automatics,92,"Top, Under, Barrel, Side, Internal, Stock",1
93,"Yamaha Raiden","Assault Rifle",6(8),60(c),-2,14F,"2,600¥",11P,"This electronic-firing assault rifle is state-of-the-art. The Raiden is very accurate and is quickly being adopted by japanacorp security forces and the Japanese Imperial Marines. It features an integral sound suppressor and smartgun system, and the electronic firing mechanism and design provides 1 point of Recoil Compensation.",BF/FA,"Sound Suppressor, SmartGun",,2,,,Core,Automatics,92,"Top, Under, Barrel, Side, Internal, Stock",1
94,"Shiawase Arms Monsoon","Assault Rifle",5,20(ml)x6,-1,10F,"1,900¥",10P,"The latest addition to Shiawase’s “Magazine Barrel” line, the Monsoon is a soldier’s dream, with the ammunition contained within the barrels. The Monsoon resists the environment’s harshest conditions and remains nearly maintenance free. As long as the user simply needs to ensure the barrels are not heavily plugged up and the bullets will fly toward their intended target, aided by the integral smartlink system, which is protected in its own shock-proof housing.",SA/FA,,,1,"Smartlink, Electronic Firing, Melee Hardening",,SR5:GH3,Automatics,92,"Top, Under, Barrel, Side, Internal, Stock",1
95,"Colt Inception","Assault Rifle","7 (8)",35(c),-1,11R,"2,250¥",10P,"Colt’s latest entry into the para-military market, the Inception replaces the venerable M23 and asserts Colt’s continued dominance in new this lucrative market segment. The Inception comes with an integral bipod for long-range engagements, which only serves to further amplify its exceptional accuracy. The titanium alloy, reinforced polymer frame can withstand the impacts beyond those typical of a service weapon and remain functional. The Inception is a new way forward for Colt, another reason to Trust the Legend™.",SA/BF,,,"1 (3)","Bipod, Electronic Firing, Laser Sight, Melee Hardening",,SR5:GH3,Automatics,92,"Top, Under, Barrel, Side, Internal, Stock",1
96,"Krupp Arms Kriegfaust","Assault Rifle",8,25(d),-1,10R,"1,300¥",9P,"A veteran of the Kilamanjaro cleansing, the Kriegfaust was designed to equip the larger members of a military command with a robust weapon suited to their needs. The drum magazine is better suited to larger hands and less likely to be dropped in high-adrenaline situations. The Kriegfaust also has a frame-mounted imaging scope, to ensure the shooter is able to get the maximum ballistic performance from the weapon’s large-caliber rounds.",SA/BF,,,1,"Metahuman Customization, Melee Hardening, Imaging Scope (w/ Vision Enhancement 1, Vision Magnification)",,SR5:GH3,Automatics,92,"Top, Under, Barrel, Side, Internal, Stock",1
97,SBD-44,"Assault Rifle",3,32(c),-1,4R,500¥,10P,"A footnote of Euro War history, the SBD-44 was a hastily constructed weapon developed to equip Germany’s equally hastily raised panzer grenadier units. Inspired by a weapon developed for equally desperate times and updated to fire modern ammunition, the SBd-44 was primarily constructed with a focus on quantity rather than the accuracy or quality typically associated with German manufactured items. The weapon was also rapidly phased out of production following the Alliance’s disintegration, making original production run versions rare today. Krupp still offers the weapon in their corporate security catalog, but no known orders have been processed in nearly twenty years.",SA/BF/FA,,,,Vintage,,SR5:GH3,Automatics,92,"Top, Under, Barrel, Side, Internal, Stock",1
98,"Ultimax Rain Forest Carbine","Assault Rifle",5,18(c),-2,8R,"2,800¥",11P,"The Ultimax Rain Forest is a short-barreled rifle designed to meet a design requirement for the Sumatran Alliance. The weapon met all of the government’s criteria and has been purchased to equip the constabulary. The Rain Forest features a deep magazine well to protect the magazine from the moisture and dirt common in jungle climates. Integrating night-vision technology, the carbine is well adapted to operations under the double and triple canopies frequently encountered by users. The carbine is available through Matrix purchases as well as local retailers.",SA/BF,,,-1,"Imaging Scope (w/ flare compensation, image link, low-light vision), Retractable Stock",,SR5:GH3,Automatics,92,"Top, Under, Barrel, Side, Internal, Stock",1
99,"Ares Executioner","Submachine Gun",4(6),30(c),,14F,"1,000¥",7P,"The Executioner is still the ultimate in concealable firepower for the executive protection professional. The weapon neatly fits down into a specially designed small briefcase, available in a number of different styles and colors (+400¥ per extra case). The weapon can be fired from the briefcase by pushing a concealed stud, or through the user’s PAN with smartlinked versions (+500¥). Recoil penalties are doubled when fired from the briefcase, but the surprise the Executioner provides may be enough to ensure survival. The Executioner also features an integral sound suppressor and an extendable stock for occasions when it is removed from its case.",SA/BF/FA,,,-1,"Folding stock, sound suppressor",,SR5:R&G,Automatics,92,"Top, Barrel, Side, Internal, Stock",1
100,"Colt Cobra TZ-120","Submachine Gun",4(5),32(c),,5R,660¥,7P,"With its unique design and wide range of accessories, the Colt Cobra series is quite popular both among security forces the world over and on the trids. The TZ–120 comes with a folding stock, top-mounted laser sight, and a barrel-mounted gas-vent 2 system.",SA/BF/FA,"Folding Stock, TOP:Laser Sight, BARREL:Gas Vent (2)",,2(3),,,Core,Automatics,92,"Top, Barrel, Side, Internal, Stock",1
101,"FN P93 Praetor","Submachine Gun",6,50(c),,11F,900¥,8P,"This bullpup submachine gun was purpose-built for Corporate Court-controlled Interpol fast-response teams. Its special chamber system provides 1 point of Recoil Compensation, it has an integrated rigid stock, and a flashlight that can be used to reduce darkness penalties by one step (Environmental Modifiers, p. 173). Possession of the FN P93 while not a legitimate member of a Corporate Court force is a crime in most jurisdictions.",SA/BF/FA,"Flashlight (one-step), Rigid Stock",,1(2),,,Core,Automatics,92,"Top, Barrel, Side, Internal, Stock",1
102,HK-227,"Submachine Gun",5(7),28(c),,8R,730¥,7P,"The SMG of choice for many corporate and military security forces, the HK–227 boasts a retractable stock, smartgun system, and integral sound suppressor.",SA/BF/FA,"SmartGun, Retractable Stock, Sound Suppressor",,-1,,,Core,Automatics,92,"Top, Barrel, Side, Internal, Stock",1
103,"HK Urban Combat","Submachine Gun",7(9),36(c),,16F,"2,300¥",8P,"HK continues to offer the Urban Combat as its high-end entry into the submachine gun market. The weapon is entirely constructed with non-metallic components and is not detectable with traditional MAD sensors. H&K has spared no expense in the weapon’s construction with an internal smartlink, a fixed sound suppressor, and a customized hydraulic recoil compensation system. The price of these bonuses is that the weapon is unable to accept further modifications.",SA/BF/FA,,,2,,,SR5:R&G,Automatics,92,"Top, Barrel, Side, Internal, Stock",1
104,"Ingram Smartgun X","Submachine Gun",4(6),32(c),,6R,800¥,8P,"Ingram Smartgun X: Grade-A bang bang. Famous as the weapon of choice for many legendary street samurai since the 2050s, the Ingram Smartgun comes tricked out with a gas-vent 2 system, a smartgun system, and an integral sound suppressor.",BF/FA,"Gas-Vent (2), SmartGun, Sound Suppressor",,2,,,Core,Automatics,92,"Top, Barrel, Side, Internal, Stock",1
105,"SCK Model 100","Submachine Gun",5(7),30(c),,6R,875¥,8P,"Shin Chou Kyogo is synonymous with Japanese corporate security. Nearly every Japana-corp’s security forces are issued the SCK 100, including Renraku’s infamous Red Samurai. The SCK 100 features an internal smartgun system and a folding stock.",SA/BF,"SmartGun, Folding Stock",,-1,,,Core,Automatics,92,"Top, Barrel, Side, Internal, Stock",1
106,"Uzi IV","Submachine Gun",4(5),24(c),,4R,450¥,7P,"This aging submachine gun is a worthy descendant of the famous Israeli weapon. The SMG features an integral folding stock and built-in top-mounted laser sight.",BF,"Folding Stock, TOP:Laser Sight",,-1,,,Core,Automatics,92,"Top, Barrel, Side, Internal, Stock",1
107,"Krime Spree","Submachine Gun",4,30(c),,6R,425¥,7P,"A new telescoping bolt design intended for those needing alternative ergonomics, the Spree is an economic choice for the discriminating shooter. The design is intended to allow for the easy mounting of a wide array of external aiming and tactical aids. While Krime does not currently manufacture such devices, a call to our friendly Customer Service department will provide a number of helpful suggestions based on the caller’s location.",FA,,,1,"Metahuman Adaptation",,SR5:GH3,Automatics,92,"Top, Barrel, Side, Internal, Stock",1
108,"Ares Sigma-3","Submachine Gun","4 (6)",50(d),,7R,"1,000¥",8P,"Ares has released their latest submachine gun design for law enforcement personnel worldwide. The Sigma-3’s unique drum magazine ensures operators have the ability to conduct a forced entry without having to worry about their ammunition supply at critical moments. The integral carrying handle/powered slide mount allows operators options beyond the internal smartlink, allowing optimization to meet tactical necessities. When using the collapsible stock, shooters have consistently exceeded organizational marksmanship standards, proving the quality design and manufacturing techniques.",SA/BF/FA,,,-2,"Collapsible Stock, Foregrip, Powered Slide Mount (Rating 2), Smartlink",,SR5:GH3,Automatics,92,"Top, Barrel, Side, Internal, Stock",1
109,"Cavalier Arms Gladius","Submachine Gun","3 (4)",32(c),,6R,400¥,7P,"A simple design intended for street officers requiring temporary increases in firepower, the Gladius combines modern electronics with an easy-to-maintain design. The weapon can also be used to equip a hastily raised militia; its simple operation and maintenance requirements make it ideal for citizen-soldiers. The stamped metal receiver is key to the weapon’s strength, while proprietary recoil absorbers ensure accuracy and the electronics package retains calibration.",BF/FA,,,1(2),"Collapsible Stock, Laser Sight",,SR5:GH3,Automatics,92,"Top, Barrel, Side, Internal, Stock",1
110,"Ares Crusader II","Machine Pistol",5(7),40(c),,9R,830¥,7P,"A large magazine and easy handling make the Ares Crusader II one of the most popular weapons of its class. It features an integral barrel-mounted gas-vent 2 recoil compensation system and comes with an integral smartgun system.",SA/BF,"SmartGun, BARREL:Integral Gas-Vent (-2 RC)",,2,,,Core,Automatics,92,"Top, Barrel, Side, Internal, Stock",1
111,"Ceska Black Scorpion","Machine Pistol",5,35(c),,6R,270¥,6P,"This classic machine pistol provides concealable burst-fire capability. It comes equipped with an integral folding stock.",SA/BF,"Integral Folding Stock",,-1,,,Core,Automatics,92,"Top, Barrel, Side, Internal, Stock",1
112,"Onotari Arms Equalizer","Machine Pistol",4(5),12(c),,7R,750¥,7P,"A boxy machine pistol that comes from the factory with a laser sight, collapsible stock, and no iron sights for a snag-free draw. It uses cased ammunition only. This Saeder-Krupp weapon is popular with bodyguards and smaller security companies due to the ease of legally acquiring it. The strong bullpup mechanism ejects the spent shells up and to the right, making it slightly less popular with left-handed users.",BF/FA,,,-1,"Folding stock, laser sight",,SR5:R&G,Automatics,92,"Top, Barrel, Side, Internal, Stock",1
113,"PPSK-4 Collapsible Machine Pistol","Machine Pistol",5(6),30(c),,17F,"2,800¥",6P,,SA/BF,,,,"Folding stock, laser sight",,SR5:R&G,Automatics,92,"Top, Barrel, Side, Internal, Stock",1
114,"Steyr TMP","Machine Pistol",4,30(c),,8R,350¥,7P,"This lightweight polymer-frame pistol is capable of full autofire, but its light weight makes it hard to control when firing on full auto. It comes equipped with a built-in top-mounted laser sight.",SA/BF/FA,"TOP:Laser Sight",,,,,Core,Automatics,92,"Top, Barrel, Side, Internal, Stock",1
115,"Ultimax 70","Machine Pistol",5(6),15(c),,7R,800¥,6P,"Originally designed for clandestine operation, the lack of wireless systems from the firearm makes it popular for concealed carry. With an integrated laser sight and gas-vent system, it is accurate and easy to control in burst fire, but it also has the capacity to suppress opponents for a short time. Ultimax continues to have a lack of modern (read: wireless) accessories factory installed, but it offers a host of after-market modifications. While professional spies scoff at this weapon for being too large for true clandestine work, it is a nice alternative to the Ares Predator as an everyday carry piece for shadowrunners. Sometimes you just have to make everyone drop for a few seconds to make all the difference.",BF/FA,,,2,"Gas-vent 2, laser sight",,SR5:R&G,Automatics,92,"Top, Barrel, Side, Internal, Stock",1
116,"Fianchetti Military 100","Machine Pistol","5 (7)",20(c),,8R,850¥,6P,"The Military 100 offers accurate automatic fire on a large-pistol frame. Fianchetti’s engineers have integrated a full spectrum smartlink sensor into the weapon’s frame, increasing accuracy in semi-automatic and fully automatic operation. The model features a rigid, reinforced polymer frame with fully integrated diagnostic sensors linked to the smartlink’s data transfer protocols, ensuring the operator full access to their weapon’s status at all times.",SA/BF/FA,,,,Smartlink,,SR5:GH3,Automatics,92,"Top, Barrel, Side, Internal, Stock",1
117,"Cavalier Evanator","Machine Pistol","5 (6)",20(c),,8R,775¥,6P,"Utilizing the latest in projectile development, this surprisingly controllable lightweight automatic is capable of providing suppressive fire under nearly any circumstances. The slanted magazine reduces the number of jams due to magazine spring malfunction, while the integrated laser sight ensures the user sees exactly where they are aiming. The electronic firing mechanism ensures the complete combustion of the caseless propellant while reducing the perceived recoil to the firer. When fitted with its standard folding stock, the Evanator can serve as the primary weapon in a close-quarter engagement.",BF/FA,,,"1 (2)","Electronic Firing, Laser Sight, Folding Stock",,SR5:GH3,Automatics,92,"Top, Barrel, Side, Internal, Stock",1
118,"Remington Suppressor","Machine Pistol",6,15(c),-1,6R,700¥,7P,"The first modern automatic pistol design offered by Remington, the Suppressor is intended for paramilitary organizations and government agencies requiring compact automatic weapons. The design integrates a number of European stylistic elements with modern automated manufacturing quality control methods, resulting in finely tuned tolerances intended to allow the user to accurately engage any target. The weapon is shipped with a detachable sound suppressor, allowing the user to reduce their audio signature at the expense of concealment.",SA/BF,,,,"Sound Suppressor",,SR5:GH3,Automatics,92,"Top, Barrel, Side, Internal, Stock",1
119,"Ares Predator V","Heavy Pistol",5(7),15(c),-1,5R,725¥,8P,"The newest iteration of the most popular handgun in the world, especially with mercenaries and shadowrunners. Upgraded with improved ergonomics and handling features, the Ares Predator V includes a smartgun system. Some say that the Ares Predator V isn’t better than other guns in its class, but no one can argue that it has better brand recognition.",SA,Smartgun,,,,,Core,Pistols,102,"Top, Barrel, Side, Stock",1
120,"Ares Viper Silvergun","Heavy Pistol",4,30(c),4,8F,380¥,9P(f),"The sleek Slivergun pairs the undeniably winning combo of burst-fire capability and built-in sound suppression (an integral silencer, p. 432) with its large magazine capacity. It fires metal slivers that count as flechette ammunition, which is factored into the weapon’s damage code.",SA/BF,"Integral Silencer",,,,,Core,Pistols,102,"Top, Barrel, Side, Stock",1
121,"Browning Ultra-Power","Heavy Pistol",5(6),10(c),-1,4R,640¥,8P,"This venerable sidearm is the Ares Predator’s primary competition as the world’s toughest heavy pistol. It offers a built-in top-mounted laser sight and is slightly cheaper.",SA,"TOP:Integral Laser Sight",,,,,Core,Pistols,102,"Top, Barrel, Side, Stock",1
122,"Cavalier Deputy","Heavy Pistol",6,7(cy),-1,3R,225¥,7P,"With the return of Western aesthetics in fashion, the Deputy has become a choice for modern-day urban cowboys and gunslingers. Less punishing to the wrist and carrying a seven-chamber cylinder, this pistol is a choice competitor to the Ruger Super Warhawk.",SA,,,,,,SR5:R&G,Pistols,102,"Top, Barrel, Side, Stock",1
123,"Colt Government 2066","Heavy Pistol",6,14(c),-1,7R,425¥,7P,"This government-issue weapon, styled after the legendary Colt M1911a1, uses an electrically induced spark to detonate the bullet’s propellants. The removal of most moving parts from the firing mechanism gives this weapon a reputation for being exceptionally reliable.",SA,,,,,,Core,Pistols,102,"Top, Barrel, Side, Stock",1
124,"Onotari Arms Violator","Heavy Pistol",5(7),10(c),-1,7R,550¥,7P,"Constantly updated to take advantage of its reputation for using the latest integrated electronics and modern materials, this pistol has become the poster child on gun ranges everywhere as the latest for cutting-edge shootists. It comes with a smartlink, basic safe target system, and an advanced safety system (also basic), all updated constantly for a modest annual fee to Onotari Arms. A patented delayed-recoil operation, along with caseless ammunition to cut down on moving parts, help with making tight, double-tapped groups in targets.",SA,,,1,"Advanced safety system, internal smartgun, safe target system base",,SR5:R&G,Pistols,102,"Top, Barrel, Side, Stock",1
125,"PSK-3 Collapsible Heavy Pistol","Heavy Pistol",4,10(c),-1,16F,"1,050¥",8P,"Designed for the Russian UGB secret police in 2061, this pistol is able to fold up into a box barely larger than an old-style wallet when the clip is removed. Formerly a clandestine weapon made only for the UGB, information about it leaked to the public rather quickly and it became a popular choice for protection details and spy agencies around the world. Able to flip into combat mode with the press of a single button, it requires a custom silencer that must be bought separately for 700¥.",SA,,,,,,SR5:R&G,Pistols,102,"Top, Barrel, Side, Stock",1
126,"Savalette Guardian","Heavy Pistol",5(7),12(c),-1,6R,870¥,8P,"This heavily chromed street monster of a pistol has been popular in the shadows for over two decades. A heavy pistol with an integrated smartgun link, an internal micro-gyro recoil absorption system, and the option for burst firing, it’s a very reasonable weapon for an experienced owner who expects to be in heavy combat.",SA/BF,,,1,Smartlink,,SR5:R&G,Pistols,102,"Top, Barrel, Side, Stock",1
127,"Remington Roomsweeper","Heavy Pistol",4,8(m),-1,6R,250¥,7P,"This is really more of a short-barreled shotgun than a pistol. When loaded with shot rounds (flechette) rather than solid slugs, it uses Heavy Pistol ranges but shotgun rules (Shotguns, p. 180).",SA,,,,,,Core,Pistols,102,"Top, Barrel, Side, Stock",1
128,"Ruger Super Warhawk","Heavy Pistol",5,6(cy),-2,4R,400¥,9P,"This revolver is as loud as a jet liner and twice as shiny. It’s also one of the scariest handguns in the world. The cased ammo variant is popular for the sheer thrill of swinging open the cylinder gate one handed and dumping spent brass.",SS,,,,,,Core,Pistols,102,"Top, Barrel, Side, Stock",1
129,"Colt Future Frontier","Heavy Pistol",5,7(cy),-1,6R,500¥,8P,"This large-frame pistol harkens back to the days of the Wild West with its classic grip and stylistic elements. Combined with modern manufacturing techniques and metallurgy, the Future Frontier provides the discriminating shooter with the best of both worlds. A redesign of the spring mechanism allows for ease of maintenance and replacement by certified personnel, while the enlarged cylinder handles a number of nostalgic calibers and propellant loads. This is a thorough redesign of a pistol that helped expand a nation, providing yet another reason to Trust the Legend™.",SS,,,,"Melee Hardening",,SR5:GH3,Pistols,102,"Top, Barrel, Side, Stock",1
130,"Colt Manhunter","Heavy Pistol",5(6),16(c),-1,5R,700¥,8P,"Falling a distant third place between the constant advertising battle between the Savalette Guardian and the Ares Predator V, Colt has taken a different track with the latest iteration of the Manhunter. Removingt the smartlink and the associated features like electronic safety and clip ejection, and shifting everything back to traditional mechanical mechanisms with the exception of a holographic sight (p. 181). The worst a hacker can do is make you slightly less accurate with this gun and that appeals to a lot of the less technologically minded consumers. While production numbers are currently significantly smaller than its competitors, it is still readily available and a common sight on the streets.",,,,,,,SR5:HT,Pistols,102,"Top, Barrel, Side, Stock",1
131,"Lemat 2072","Heavy Pistol",5,9(cy)/1(b),-0.25,8R,"1,080¥",8P/10P(f),"This surprising offering from Krupp Arms is a throwback to the rare pistol used in the Confederacy during the Civil War. This pistol uses a double-barrel design with the cylinder rotating around a large central chamber that holds a single 20-gauge shotgun shell (most commonly loaded with a ﬂechette round). A bit large for human hands with a strong kick, it fits well in larger metahuman hands. This design combined with the Kriegfaust has some speculating that Krupp may be trying to compete with Krime for the metahuman weapons market. Switching the firing mode to fire the central shotgun chamber requires a Simple Action. This function is controlled by the custom-built ammo skip system included with this model.",,,,,,,SR5:HT,Pistols,102,"Top, Barrel, Side, Stock",1
132,"Ares Light Fire 70","Light Pistol",7,16(c),,3R,200¥,8P,"The Ares Light Fire 70 is one of the most common pistols on the market. A special barrel-mounted silencer developed exclusively for the Light Fire 70 is available that gives you an additional –1 dice pool modifier to the usual –4 (for a total of –5); this silencer costs 750¥.",SA,,,,,,Core,Pistols,102,"Top, Barrel",1
133,"Ares Light Fire 75","Light Pistol",6(8),16(c),,6F,"1,250¥",6P,"Designed based on one of the most common pistols on the market, the Light Fire is a weapon for special operators, not commonly available through legal channels. A special barrel-mounted silencer developed exclusively for the Light Fire comes attached, applying an additional –1 dice pool modifier to the modifier usually provided by silencers. In addition to its integral silencer, the Ares Light Fire 75 includes a smartgun system.",SA,"Smartgun System, Special Silencer",,,,,Core,Pistols,102,"Top, Barrel",1
134,"Beretta 201T","Light Pistol",6,21(c),,7R,210¥,6P,"This light sidearm is used by many security professionals. It is capable of burst fire. Since the 201T is classified as a light pistol without further limitations, it is quite popular with security agencies in countries where heavy pistols and machine pistols are hard to come by legally. Semi-automatic bursts using the Beretta 201T require a Simple Action. The weapon includes a detachable shoulder stock.",SA/BF,"Detachable Shoulder Stock",,-1,,,Core,Pistols,102,"Top, Barrel",1
