Row,Name,Description,Category,Effects,Type,Range,Damage,Duration,Drain,Source,Grouping
71,"Night Vision","Night Vision grants a voluntary subject low-light vision like that provided by the low-light vision cybernetic eyeware enhancement (p. 444, SR5).",Detection,"Passive, Directional",Physical,T,,S,F-3,SR5:SG,NULL
72,"[Sense] Cryptesthesia","Sense Cryptesthesia (`paranormal perception`) is an advanced form of Clairvoyance (p. 286, SR5) and Clairaudience (p. 286, SR5). Each Cryptesthesia spell allows the subject to utilize a different augmented sense such as low-light vision, thermographic vision, enhanced smell, or ultrasound at a chosen point within the spell`s range. These senses mimic the effects of headware cybernetic enhancements (p.451, SR5). The subject need not possess the sense to utilize it while the spell is powered. However, each sense requires a different spell (for example, Sonar Cryptesthesia or Enhanced Vision Cryptesthesia).",Detection,"Passive, Directional",Physical,T,,S,F-3,SR5:SG,NULL
73,"Spatial Sense","Spatial Sense grants the subject an innate awareness and knowledge of his physical surroundings within range of the spell in terms of landscape, geography, and architecture. The layout knowledge lasts as only long as the spell is sustained and is not retained when the spell ends (though the subject can make a map or recite directions before ending the spell). The net hits scored on the Detection Spell Results table (p. 286, SR5) determine how much detail the spell provides, progressing from a general idea of what`s where, to a rough map of the area, to knowing each exit and how secure they are. The spell works in all directions (three-dimensional) and may uncover hidden layout features such as ventilation shafts, secret rooms, and sewer tunnels. It will not detect security features or living things. Areas that are protected by a mana barrier are experienced as `blank spots.`",Detection,"Passive, Area",Physical,T(A),,S,F-3,SR5:SG,NULL
74,"Spatial Sense Extended","Spatial Sense grants the subject an innate awareness and knowledge of his physical surroundings within range of the spell in terms of landscape, geography, and architecture. The layout knowledge lasts as only long as the spell is sustained and is not retained when the spell ends (though the subject can make a map or recite directions before ending the spell). The net hits scored on the Detection Spell Results table (p. 286, SR5) determine how much detail the spell provides, progressing from a general idea of what`s where, to a rough map of the area, to knowing each exit and how secure they are. The spell works in all directions (three-dimensional) and may uncover hidden layout features such as ventilation shafts, secret rooms, and sewer tunnels. It will not detect security features or living things. Areas that are protected by a mana barrier are experienced as `blank spots.`",Detection,"Passive, Extended Area",Physical,T(A),,S,F-1,SR5:SG,NULL
75,"Thought Recognition","This set of spells is a less intrusive form of Mind Probe (p. 287, SR5). The caster grants the subject the ability to scan the target`s surface thoughts for a particular word, phrase, sound, or image chosen when the spell is cast. This spell does not dig through the target`s brain for information; it merely verifies if a target is actively thinking about a particular person, place, event, or thing. Investigators use this spell to determine if a target has knowledge of something (such as a murder weapon) that they otherwise wouldn`t to determine if they are involved with a crime. Spies use this spell to determine if someone is tailing or looking for them.",Detection,"Active, Psychic, Directional",Mana,T,,S,F,SR5:SG,NULL
76,"Area Thought Recognition","This set of spells is a less intrusive form of Mind Probe (p. 287, SR5). The caster grants the subject the ability to scan the target`s surface thoughts for a particular word, phrase, sound, or image chosen when the spell is cast. This spell does not dig through the target`s brain for information; it merely verifies if a target is actively thinking about a particular person, place, event, or thing. Investigators use this spell to determine if a target has knowledge of something (such as a murder weapon) that they otherwise wouldn`t to determine if they are involved with a crime. Spies use this spell to determine if someone is tailing or looking for them.",Detection,"Active, Psychic, Area",Mana,LOS(A),,S,F+2,SR5:SG,NULL
77,Translate,"Translate creates a low-level telepathic connection between the subject and a specific target within range of the sense (chosen when the spell is cast). This allows the subject and target to understand each other`s speech as if the subject spoke the target`s native language. The spell translates general intent rather than exact phrasing. This is useful for simple conversations, but not delicate diplomacy where the tact of a skilled translator is needed. This spell is often used for international corporate and government conversations. Translate may be used to communicate with any sapient species that uses language (such as sasquatch or merrow), but may not be used to communicate with non-sapient animals. The hits from the Spellcasting Test determine the quality of the translation. The caster must touch the subject to trigger the spell.",Detection,"Active, Psychic, Directional",Mana,T,,S,F-4,SR5:SG,NULL
78,Antidote,"This spell helps a poisoned subject overcome a toxin. Casters use it after the target has been poisoned, but before the target needs to make her Toxin Resistance Test, based on the Speed of the toxin. Add the hits from this spell directly to the hits from the Toxin Resistance Test.",Health,,Mana,T,,P,F-3,Core,NULL
79,"Cure Disease","This spell is used at any point after infection to help a patient overcome illness. The infected character receives a number of additional dice on her Disease Resistance Test equal to the spell`s net hits until the patient recovers (or dies). It does not heal any damage already inflicted by the disease (that requires a separate Healing spell).",Health,Essence,Mana,T,,P,F-4,Core,NULL
80,"Decrease [Attribute]","This spell weakens the target by decreasing a designated Attribute. A version of this spell exists for each Physical and Mental attribute, but not for Special attributes (Initiative, Edge, Essence, Magic, or Resonance). It affects both natural and augmented Attributes.This spell is cast with an Opposed Spellcasting + Magic [Force] v. (targeted Attribute) + Willpower Test. If the magician wins, the Attribute is reduced by the spell`s net hits. If a Physical Attribute is reduced to 0, the victim is incapacitated and paralyzed. If a Mental Attribute is reduced to 0, the victim stands still, mindlessly confused. Decreasing an Attribute also affects any other derived statistics that use it (for example, if Reaction or Intuition is lowered, Initiative is lowered as well) as long as the spell is sustained.",Health,Essence,Physical,T,,S,F-2,Core,NULL
81,Detox,"Detox relieves the side effects of a drug or poison. The Force of the spell must equal or exceed the toxin`s base DV. A single hit is sufficient to eliminate all symptoms. Detox does not heal or prevent damage done by toxins, but it eliminates any side effects they may have on the victim (dizziness, hallucinations, nausea, pain, and so forth). Detox is the hangover cure of choice among those who can afford it.",Health,,Mana,T,,P,F-6,Core,NULL
82,Heal,"Heal repairs physical injuries. It heals a number of boxes of Physical damage equal to the spell`s hits from the Spellcasting Test. Hits can also be used to reduce the base time for the spell to become permanent; each hit spent this way shaves off 1 Combat Turn (you can split hits between healing and reducing time). Any boxes of Physical damage your target still has after any boxes are healed magically can only be healed by time and rest.",Health,Essence,Mana,T,,P,F-4,Core,NULL
83,"Increase [Attribute]","This spell increases an Attribute (natural or augmented) on a voluntary subject. A version of this spell exists for each Physical and Mental attribute, but not for Special Attributes (Initiative, Edge, Essence, Magic, or Resonance). The Force of the spell must equal or exceed the (augmented) value of the Attribute being affected. The Attribute is increased by an amount equal to the hits scored, up to the target`s augmented maximum (any hits that would increase the Attribute beyond its augmented maximum are ignored). Each Attribute can only be affected by a single Increase Attribute spell at a time. Note that increasing an Attribute may affect other derived statistics (Increase Reaction also affects Initiative, for example, while Increase Body adds extra boxes to the character`s Physical Condition Monitor for as long as the spell lasts).",Health,Essence,Physical,T,,S,F-3,Core,NULL
84,"Increase Reflexes","This spell increases the initiative of a subject. Each hit rolled on the Spellcasting Test adds +1 to the target`s Initiative, and every two hits adds one Initiative Die. A character can only be affected by a single Increase Reflexes spell at a time, and the maximum Initiative Dice anyone can have is +5D6.",Health,Essence,Physical,T,,S,F,Core,NULL
85,Oxygenate,"This spell oxygenates the blood of a voluntary subject, providing extra Body dice (1 die for every hit) to resist suffocation, strangulation, the effects of inhaled gas, or any other effect of oxygen deprivation. The spell also allows the subject to breathe underwater.",Health,,Physical,T,,S,F-5,Core,NULL
86,Prophylaxis,"This spell provides an extra die per hit for a subject to resist infection, drugs, or toxins. The spell does not discriminate between harmful and beneficial drugs, so the subject also resists medicines and other helpful drugs while under its effects. Reduce the bonuses of a beneficial drug by 1 for every hit rolled in the casting; three or more hits block effects that do not have a bonus or penalty associated with them.",Health,,Mana,T,,S,F-4,Core,NULL
87,"Resist Pain","Resist Pain allows the subject to ignore the pain of injuries, reducing penalties from Physical or Stun damage. Each hit on the Spellcasting Test removes the effect of one box of damage from each of the subject`s Condition Monitor tracks. It does not remove the damage itself; it only eliminates the modifiers. If all of the boxes on the track are filled, the character still falls unconscious.  The spell is permanent in that the boost to the patient`s endorphin levels does not wear off. If the subject`s damage rises above the level at which the patient is resisting pain or if the existing injuries heal, the spell dissipates. A person can only be under the effects of one Resist Pain spell at a time (the one with the most hits).",Health,,Mana,T,,P,F-4,Core,NULL
88,Stabilize,"When applied to a character with a filled Physical damage track, this spell stabilizes all vital functions and prevents the character from dying. The spell`s Force must equal or exceed the overflow damage already taken when the spell starts. The full time must be taken for the spell to become permanent before the character is truly stabilized; hits reduce the time it takes by 1 Combat Turn each. If successful, the spell prevents the character from taking further damage from Physical Damage Overflow (p. 209).",Health,,Mana,T,,P,F-4,Core,NULL
89,Ambidexterity,"Ambidexterity allows the spellcaster to temporarily grant the Ambidextrous quality (p. 172, SR5) onto a willing subject. The effect lasts 1 Combat Turn for every hit on the Spellcasting Test. The spellcaster must touch the subject to activate the spell.",Health,Essence,Physical,T,,I,F-3,SR5:SG,NULL
90,"Alleviate Addiction","Alleviate Addiction temporarily reduces the effects of addiction on the subject`s body and mind (p. 77, SR5). Every net hit reduces the addiction level by one (from Severe to Moderate, for example). This spell does not remove the addiction; it only alleviates its effects, and it can only address the effects of one addiction at a time. This cure only last while the spell is powered and then the Addiction returns at full force. Note that this spell does not work against the effects of Focus Addiction (p. 319, SR5).",Health,Essence,Mana,T,,S,F-6,SR5:SG,NULL
91,"Alleviate [Allergy]","Alleviate Allergy temporarily blocks or reduces the effects of an allergy on the target`s body and mind (p. 78, SR5). Every net hit reduces the allergy level by one (from Moderate to Mild, for example). This spell does not remove the allergy, only alleviates its effects, and it only alleviates the effects of one allergy at a time. The Allergy returns at full force once the spell ends.",Health,Essence,Mana,T,,S,F-6,SR5:SG,NULL
92,Awaken,"Awaken allows the spellcaster to immediately wake an unconscious target and instantly bring them to full alertness, temporarily alleviating the effects of Stun, including modifiers from damage. This spells works on a subject that is unconscious due to an external cause such as injury, medication, or chemicals.  The caster must achieve a threshold equal to the Stun modifiers (or 1 for targets simply asleep) the subject currently experiences. The subject remains conscious as long as the spell is sustained. At the end of that period, the character relapses into unconsciousness. Afterwards, the subject must endure all the Stun damage (this includes any new Stun damage accumulated while awake) at twice the typical duration. This effect lasts until all Stun damage is healed. Sadly, the caster may not cast this spell on herself.",Health,Essence,Mana,T,,S,F-3,SR5:SG,NULL
93,Crank,"Crank alleviates a voluntary subject`s physical need for sleep. Every hit scored approximates one hour of sleep for purposes of resisting Fatigue (p. 172, SR5). Popular among student magicians, Crank has a significant downside. At the gamemaster`s discretion, a character who abuses Crank to avoid actual sleep for long periods may find themselves addicted to magically aided sleep deprivation (p. 172, SR5).",Health,Essence,Physical,T,,S,F-3,SR5:SG,NULL
94,"Decrease Reflexes","Decrease Reflexes allows the spellcaster to decrease the reflexes (as represented by Initiative Score) of a target. The target resists with Reaction + Counterspelling. The Force of the spell must equal or exceed the target`s Reaction. Every net hit achieved reduces the target`s Initiative Score by 1.",Health,Essence,Physical,T,,P,F-2,SR5:SG,NULL
95,Enabler,"Enabler is the opposite of the spell Antidote (p. 288, SR5). This spell increases the target`s susceptibility to drugs or toxins. Naturally, Enabler is popular with wiz-gangers to help themselves and other druggies get a better high. The target resists with Body + Counterspelling. Each net hit scored reduces the target`s dice pool by 1 for the Toxin Resistance Test. Enabler must be sustained until the toxin effect kicks in, otherwise it does not affect the Resistance Test.",Health,Essence,Mana,T,,S,F-3,SR5:SG,NULL
96,Fast,"Fast grants a voluntary subject the ability to supplant feelings of hunger or thirst for as long as the spell is sustained. Each hit allows the target to ignore the symptoms of one skipped meal. Fast does not alleviate the biological need for food or water. Once the spell ends, the subject immediately suffers any effects of from dehydration or starvation. The wealthy sometimes use Fast as a painless `diet spell.` Hunger pangs and the effects of not eating and drinking immediately return to the subject.  Subjects under the effects of this spell for more than seventy-two hours risk permanent damage. The gamemaster should apply Fatigue damage and the Disorientation effect (p. 409, SR5) as appropriate to any subject that uses Fast excessively.",Health,Essence,Mana,T,,S,F-3,SR5:SG,NULL
97,"Forced Defense","A trained runner learns to control and master her survival instincts to take calculated risks. Forced Defense triggers these primal urges to survive at all costs. The spellcaster must succeed in a Magic + Spellcasting Test opposed by the target`s Body (+ Counterspelling). The target of this spell is forced to interrupt her current action to go on Full Defense (p. 191, SR5). The number of hits scored by the caster determines the number of Combat Turns that the target is forced to remain at Full Defense. This spell does not force the target to remain in the area or the combat. For more information on Active Defenses, see p. 190, SR5.",Health,Essence,Mana,T,,I,F-1,SR5:SG,NULL
98,"Increase Inherent Limits","Every character has three inherent limits (Physical, Mental, and Social) that determine how many of the hits from your initial roll you can actually use to determine the result of the test (p. 47, SR5). This set of spells allows a spellcaster to temporarily help a subject overcome these limits for the duration of the spell.  The spellcaster must touch the subject to activate the spell and then select a single inherent limit to affect with this spell. Only one inherent limit may be altered at a time. Recasting the spell on a subject wipes away the previous alteration. Each net hit achieved increases or reduces the target`s selected inherent limit by 1, to a minimum of 1.  Just so we`re clear: Increase Inherent Limits increases the limit of a subject while Decrease Inherent Limits decreases the limits of a target.",Health,Essence,Physical,T,,S,F-1,SR5:SG,NULL
99,"Decrease Inherent Limits","Every character has three inherent limits (Physical, Mental, and Social) that determine how many of the hits from your initial roll you can actually use to determine the result of the test (p. 47, SR5). This set of spells allows a spellcaster to temporarily help a subject overcome these limits for the duration of the spell.  The spellcaster must touch the subject to activate the spell and then select a single inherent limit to affect with this spell. Only one inherent limit may be altered at a time. Recasting the spell on a subject wipes away the previous alteration. Each net hit achieved increases or reduces the target`s selected inherent limit by 1, to a minimum of 1.  Just so we`re clear: Increase Inherent Limits increases the limit of a subject while Decrease Inherent Limits decreases the limits of a target.",Health,Essence,Physical,T,,S,F-1,SR5:SG,NULL
100,Agony,"A favorite of mages going through bad break-ups, Agony inflicts an illusion of terrible pain on the target. Each net hit scored by the magician temporarily inflicts 1 box of Physical and 1 box of Stun damage on the target. It is not actual damage, only a measure of the effect of the spell. The target is affected the same as if the damage were real, with the usual injury penalties. If the target`s damage boxes are completely filled, he is racked with pain, unable to move or act. Once the spell is ended, the pain and damage boxes immediately go away.",Illusion,"Realistic, Single-Sense",Mana,LOS,,S,F-4,Core,NULL
101,"Mass Agony","A favorite of mages going through bad break-ups, Agony inflicts an illusion of terrible pain on the target. Each net hit scored by the magician temporarily inflicts 1 box of Physical and 1 box of Stun damage on the target. It is not actual damage, only a measure of the effect of the spell. The target is affected the same as if the damage were real, with the usual injury penalties. If the target`s damage boxes are completely filled, he is racked with pain, unable to move or act. Once the spell is ended, the pain and damage boxes immediately go away.",Illusion,"Realistic, Single-Sense",Mana,LOS(A),,S,F-2,Core,NULL
102,Bugs,"These spells make the target believe that small bugs of various persuasions are crawling over their entire body, biting them, scurrying about, and crawling into assorted orifices. The bugs look, feel, smell, and even taste real. The illusion is usually enough to make any target who fails to resist freak out. For each net hit you get, the target loses 2 from their Initiative Score. If you sustain the spell, they lose the same amount from their Initiative Score at the beginning of each Combat Turn. Bugs affects a single target, Swarm is an area spell.",Illusion,"Realistic, Multi-Sense",Mana,LOS,,S,F-3,Core,NULL
103,Swarm,"These spells make the target believe that small bugs of various persuasions are crawling over their entire body, biting them, scurrying about, and crawling into assorted orifices. The bugs look, feel, smell, and even taste real. The illusion is usually enough to make any target who fails to resist freak out. For each net hit you get, the target loses 2 from their Initiative Score. If you sustain the spell, they lose the same amount from their Initiative Score at the beginning of each Combat Turn. Bugs affects a single target, Swarm is an area spell.",Illusion,"Realistic, Multi-Sense",Mana,LOS(A),,S,F-1,Core,NULL
104,Confusion,"These spells produce a storm of conflicting sensations and images to confuse the senses. For each net hit on the Spellcasting Test, the target suffers a -1 dice pool modifier to all tests due to the distraction.Confusion affects a single target. Mass Confusion is an area spell. The Chaos spell is a physical version of Confusion (above), so it also affects technological systems and sensing devices. Chaotic World is an area version of Chaos.",Illusion,"Realistic, Multi-Sense",Mana,LOS,,S,F-3,Core,NULL
105,"Mass Confusion","These spells produce a storm of conflicting sensations and images to confuse the senses. For each net hit on the Spellcasting Test, the target suffers a -1 dice pool modifier to all tests due to the distraction.Confusion affects a single target. Mass Confusion is an area spell. The Chaos spell is a physical version of Confusion (above), so it also affects technological systems and sensing devices. Chaotic World is an area version of Chaos.",Illusion,"Realistic, Multi-Sense, Area",Mana,LOS(A),,S,F-1,Core,NULL
106,Chaos,"These spells produce a storm of conflicting sensations and images to confuse the senses. For each net hit on the Spellcasting Test, the target suffers a -1 dice pool modifier to all tests due to the distraction.Confusion affects a single target. Mass Confusion is an area spell. The Chaos spell is a physical version of Confusion (above), so it also affects technological systems and sensing devices. Chaotic World is an area version of Chaos.",Illusion,"Realistic, Multi-Sense",Physical,LOS,,S,F-2,Core,NULL
107,"Chaotic World","These spells produce a storm of conflicting sensations and images to confuse the senses. For each net hit on the Spellcasting Test, the target suffers a -1 dice pool modifier to all tests due to the distraction.Confusion affects a single target. Mass Confusion is an area spell. The Chaos spell is a physical version of Confusion (above), so it also affects technological systems and sensing devices. Chaotic World is an area version of Chaos.",Illusion,"Realistic, Multi-Sense, Area",Physical,LOS(A),,S,F,Core,NULL
108,Entertainment,"These area spells create obvious, but entertaining, illusions. Hits on the Spellcasting Test measure how detailed, interesting, and captivating the audience finds the illusion. The magician can reproduce just about anything from her imagination, or re-create something she has experienced.  Entertainment affects the minds of the subjects and cannot be detected by non-living sensors. Trid Entertainment is a physical spell and can be perceived by both living subjects and non-living sensors.  These spells are used for amusement as well as art. The entertainment industry uses illusionists as literal special effects wizards. Magical designers and artists work to create new and interesting sensations, including sensations that can`t otherwise be experienced in the real world. Only the wealthy can afford the unique experiences offered by such magicians firsthand.",Illusion,"Obvious, Multi-Sense, Area",Mana,LOS(A),,S,F-3,Core,NULL
109,"Trid Entertainment","These area spells create obvious, but entertaining, illusions. Hits on the Spellcasting Test measure how detailed, interesting, and captivating the audience finds the illusion. The magician can reproduce just about anything from her imagination, or re-create something she has experienced.  Entertainment affects the minds of the subjects and cannot be detected by non-living sensors. Trid Entertainment is a physical spell and can be perceived by both living subjects and non-living sensors.  These spells are used for amusement as well as art. The entertainment industry uses illusionists as literal special effects wizards. Magical designers and artists work to create new and interesting sensations, including sensations that can`t otherwise be experienced in the real world. Only the wealthy can afford the unique experiences offered by such magicians firsthand.",Illusion,"Obvious, Multi-Sense, Area",Physical,LOS(A),,S,F-2,Core,NULL
110,Invisibility,"This spell makes the subject more difficult to detect by normal visual senses (including low-light, thermographic, and other senses that rely on the visual spectrum). The subject is completely tangible and detectable by the other senses (hearing, smell, touch, and even taste, if it somehow comes to that). Her aura is still visible to astral perception.  Anyone who might be in a position to perceive the subject must first successfully resist the spell. Simply make one Spellcasting Test and use the hits scored as the threshold for anyone that resists at a later point. Even if the spell is resisted, the subject might remain undetected if she`s good enough with her Sneaking Test. An invisible character may still be detected by non-visual means, such as hearing or smell. Attacks against invisible targets suffer the Blind Fire modifier if the attacker is unable to see or otherwise sense the subject of the spell.  Invisibility affects the minds of viewers. Improved Invisibility mimics the subject`s surroundings from all angles and affects technological sensors as well.",Illusion,"Realistic, Single-Sense",Mana,LOS,,S,F-2,Core,NULL
111,"Improved Invisibility","This spell makes the subject more difficult to detect by normal visual senses (including low-light, thermographic, and other senses that rely on the visual spectrum). The subject is completely tangible and detectable by the other senses (hearing, smell, touch, and even taste, if it somehow comes to that). Her aura is still visible to astral perception.  Anyone who might be in a position to perceive the subject must first successfully resist the spell. Simply make one Spellcasting Test and use the hits scored as the threshold for anyone that resists at a later point. Even if the spell is resisted, the subject might remain undetected if she`s good enough with her Sneaking Test. An invisible character may still be detected by non-visual means, such as hearing or smell. Attacks against invisible targets suffer the Blind Fire modifier if the attacker is unable to see or otherwise sense the subject of the spell.  Invisibility affects the minds of viewers. Improved Invisibility mimics the subject`s surroundings from all angles and affects technological sensors as well.",Illusion,"Realistic, Single-Sense",Physical,LOS,,S,F-1,Core,NULL
112,Mask,"The Mask spell requires the magician to touch the subject. The subject assumes a different physical appearance (of the same basic size and shape as her natural form) chosen by the magician. This spell can alter the subject`s voice, scent, and other physical characteristics as well.  Anyone who might see through the disguise must first successfully resist the spell. Simply make one Spellcasting Test and use the hits scored as the threshold for anyone that resists at a later point. Mask affects the minds of viewers. Physical Mask creates an illusion that affects technological sensors as well.",Illusion,"Realistic, Multi-Sense",Mana,T,,S,F-2,Core,NULL
113,"Physical Mask","The Mask spell requires the magician to touch the subject. The subject assumes a different physical appearance (of the same basic size and shape as her natural form) chosen by the magician. This spell can alter the subject`s voice, scent, and other physical characteristics as well.  Anyone who might see through the disguise must first successfully resist the spell. Simply make one Spellcasting Test and use the hits scored as the threshold for anyone that resists at a later point. Mask affects the minds of viewers. Physical Mask creates an illusion that affects technological sensors as well.",Illusion,"Realistic, Multi-Sense",Physical,T,,S,F-1,Core,NULL
114,Phantasm,"These area spells create convincing illusions of any object, creature, or scene the magician desires. They can create an illusion of anything the magician has seen before, from a flower or a credstick to a dragon breathing fire, as long as the illusion is no larger than the spell`s area of effect.  Anyone who might pierce the illusion must successfully resist the spell. Simply make one Spellcasting Test and use the hits scored as the threshold for anyone attempting to resist at a later point.  Phantasm only affects living beings, while Trid Phantasm affects technological sensors as well.",Illusion,"Realistic, Multi-Sense, Area",Mana,LOS(A),,S,F-1,Core,NULL
115,"Trid Phantasm","These area spells create convincing illusions of any object, creature, or scene the magician desires. They can create an illusion of anything the magician has seen before, from a flower or a credstick to a dragon breathing fire, as long as the illusion is no larger than the spell`s area of effect.  Anyone who might pierce the illusion must successfully resist the spell. Simply make one Spellcasting Test and use the hits scored as the threshold for anyone attempting to resist at a later point.  Phantasm only affects living beings, while Trid Phantasm affects technological sensors as well.",Illusion,"Realistic, Multi-Sense, Area",Physical,LOS(A),,S,F,Core,NULL
116,Hush,"These spells create an area that dampens sound. Sonic attacks into or out of the field, as well as critter powers using a sonic medium (such as Paralyzing Howl), are reduced by -1 per hit on the Spellcasting Test. Anyone attempting to hear a sound from within or across the silenced area must successfully resist the spell.Hush is a mana spell and so only affects living beings and magic sonic attacks. Silence affects technological devices and is useful for jamming alarms, detection devices, sonar, and tactical communications, as well as technological sonic weapons.",Illusion,"Realistic, Single-Sense, Area",Mana,LOS(A),,S,F-2,Core,NULL
117,Silence,"These spells create an area that dampens sound. Sonic attacks into or out of the field, as well as critter powers using a sonic medium (such as Paralyzing Howl), are reduced by -1 per hit on the Spellcasting Test. Anyone attempting to hear a sound from within or across the silenced area must successfully resist the spell.Hush is a mana spell and so only affects living beings and magic sonic attacks. Silence affects technological devices and is useful for jamming alarms, detection devices, sonar, and tactical communications, as well as technological sonic weapons.",Illusion,"Realistic, Single-Sense, Area",Physical,LOS(A),,S,F-1,Core,NULL
118,Stealth,"Stealth makes the subject less audible to normal and augmented hearing. The subject moves in silence, making less or no noise. Things not directly touched by the subject can still make noise, so a character under a Stealth spell would make no noise knocking on a door, but the door would make noise hitting the floor or wall if it was kicked in.  Anyone who might hear the subject must first successfully resist the spell. Make a single Spellcasting Test and use the hits scored as the threshold for anyone who resists at a later point. Even if the spell is resisted, the subject might remain unnoticed if her Sneaking Tests are up to par.",Illusion,"Realistic, Single-Sense",Physical,LOS,,S,F-2,Core,NULL
119,"Camouflage Check","This set of spells colors the subject in a camouflage pattern that matches her surroundings and provides 1 die per hit to resist attempts to spot their physical body. Camouflage works only against living viewers, while Physical Camouflage works against living viewers and technological sensors.",Illusion,"Realistic, Single-Sense",Mana,LOS,,S,F-2,SR5:SG,NULL
120,"Physical Camouflage","This set of spells colors the subject in a camouflage pattern that matches her surroundings and provides 1 die per hit to resist attempts to spot their physical body. Camouflage works only against living viewers, while Physical Camouflage works against living viewers and technological sensors.",Illusion,"Realistic, Single-Sense",Physical,LOS,,S,F,SR5:SG,NULL
121,Decoy,"Decoy is a variant of the spell Chaos (p. 290, SR5) that only affects non-living sensor devices. The sensor is bombarded with a storm of input that confuses its targeting program. For each hit scored over the Object Resistance threshold, the sensor`s rating is reduced by 1. Decoy affects a single target; Chaff is an area spell.",Illusion,"Realistic, Multi-Sense",Physical,LOS,,S,F-3,SR5:SG,NULL
122,Chaff,"Decoy is a variant of the spell Chaos (p. 290, SR5) that only affects non-living sensor devices. The sensor is bombarded with a storm of input that confuses its targeting program. For each hit scored over the Object Resistance threshold, the sensor`s rating is reduced by 1. Decoy affects a single target; Chaff is an area spell.",Illusion,"Realistic, Multi-Sense, Area",Physical,LOS(A),,S,F-1,SR5:SG,NULL
123,"Double Image","Double Image allows the spellcaster to create an illusionary doppelganger of the subject that is an identical image of the subject and mimics everything he does. He has limited control of the duplicate and can adjust its movement (to keep it from walking through walls and so forth), though in tight quarters this may be difficult. Making the duplicate take a distinct action requires a Simple Action by the caster. The spellcaster must touch the subject to activate the spell, and the duplicate exists as long as the spell is sustained. Casters may only have one duplicate of a single individual at a time, though they may cast the spell multiple times to duplicate multiple people.Targets who fail to resist the spell cannot tell the original and double image apart as the double sounds, smells, and looks like the original. The double is insubstantial; bullets and melee attacks go right through it. It can neither make attacks nor cast spells. Double Image affects both physical beings and technological sensors.",Illusion,"Realistic, Multi-Sense",Physical,T,,S,F-1,SR5:SG,NULL
124,Dream,"Dream allows a spellcaster to craft a dream sequence (including visuals, sounds, emotions, etc.) and transmit it to a sleeping target. Manufactured dreams cannot cause actual harm to the target. However, if the spellcaster is wily, the manufactured dreams may soothe or frighten the target and alter his actions in the waking world.  The spellcaster`s net hits determine the dream`s vividness and complexity. Targets who have severe nightmares (requires at least 5 net hits) do not recover Stun damage while they persist, and any rest during that time is lost. The target will vividly remember the dream when they wake up but will not necessarily know that the dream was mystically altered. The Dream spell is often cast using ritual spellcasting (p. 295, SR5) as a means of sending warnings, threats, or torment to an enemy. It is also used in modern psychological and therapeutic counseling involving directed dreaming.",Illusion,"Realistic, Multi-Sense",Mana,LOS,,S,F-3,SR5:SG,NULL
125,Euphoria,"This set of spells provides the spellcaster with an unusual set of non-lethal tools to distract his enemies by forcing great pleasure upon them. Euphoria envelops the target in the stimulating throes of a great high comparable to an empathogenic drug high or sexual climax. Many magicians utilize this spell in their private lives, granting willing targets a thrilling ecstasy. However, using this spell on unwilling subjects is considered a criminal act by law enforcement officers in many jurisdiction. Spellcasters known to excessively cast this set of spells may gain an unsavory reputation.  Each net hit scored by the spellcaster applies a -1 dice pool modifier to all of the targets` actions as they are distracted by the sensation. At the gamemaster`s discretion, a character who suffers a dice pool modifier higher than his Willpower is completely incapacitated and preoccupied. Euphoria affects a single target; Opium Den is an area spell.",Illusion,"Realistic, Single-Sense",Mana,LOS,,S,F-3,SR5:SG,NULL
126,"Opium Den","This set of spells provides the spellcaster with an unusual set of non-lethal tools to distract his enemies by forcing great pleasure upon them. Euphoria envelops the target in the stimulating throes of a great high comparable to an empathogenic drug high or sexual climax. Many magicians utilize this spell in their private lives, granting willing targets a thrilling ecstasy. However, using this spell on unwilling subjects is considered a criminal act by law enforcement officers in many jurisdiction. Spellcasters known to excessively cast this set of spells may gain an unsavory reputation.  Each net hit scored by the spellcaster applies a -1 dice pool modifier to all of the targets` actions as they are distracted by the sensation. At the gamemaster`s discretion, a character who suffers a dice pool modifier higher than his Willpower is completely incapacitated and preoccupied. Euphoria affects a single target; Opium Den is an area spell.",Illusion,"Realistic, Single-Sense, Area",Physical,LOS(A),,S,F-1,SR5:SG,NULL
127,Foreboding,"Foreboding is an area spell that mystically broadcasts feelings of imminent danger, fear, and unease to any living being who enters the spell`s range. Targets simultaneously feel chilled and nervous. Their hackles rise, and they feel slightly panicked. Characters that fail to resist the spell suffer a -1 dice pool modifier to all actions for each net hit scored by the spellcaster, representing their shaking, fear, and nervousness for as long as they remain in the area of effect. At the gamemaster`s discretion, characters who suffer a dice pool modifier greater than their Willpower may be compelled to flee the area, or they may simply curl up into a gibbering ball. The drawback to this spell is that the spellcaster can not limit or control who is targeted by this spell, and it effects enemies and allies alike.",Illusion,"Realistic, Multi-Sense",Mana,LOS(A),,S,F-3,SR5:SG,NULL
