Row,Name,Karma,Description,Type,Source,Prerequisites,MaxRating,Bonus,Skill,RequireText,Options
67,"Natural Athlete","7 KARMA","A character with this quality has an innate combination of physical fitness, spatial awareness, and natural athletic or gymnastic talent. While the character may not be a world-class athlete and may require training to achieve peak performance, he is in prime physical shape for his size and weight class. The Natural Athlete adds a +2 dice pool modifier for Running and Gymnastics skill tests.",Positive,Core,,1,,"Running:2,Gymnastics:2",0,
68,"Natural Hardening","10 KARMA","This quality makes the character’s neural structure resistant to feedback. This gives her 1 point of natural biofeedback filtering, which is cumulative with a Biofeedback Filter program or a technomancer’s firewall (p. 251).",Positive,Core,,1,,,0,
69,"Natural Immunity (Natural)","4 KARMA","The ability to casually sip poison can never be overrated. A character with Natural Immunity has an innate or developed immunity to one single disease or toxin. This quality is available at two levels. If purchased at the 4 Karma level, the character is immune to a single natural disease or toxin. If Natural Immunity is purchased at the full 10 Karma level, the character is immune to a single, synthetic (artificially created) disease or toxin. Natural Immunity does not affect diseases or toxins that are magically based, such as HMHVV.  The player and gamemaster must agree on the disease, drug, or poison to which the character is immune. The character can take one dose of the drug or poison and experience one exposure to the disease every six hours with no ill effects. Any subsequent dosing or exposure during the next six hours causes normal damage, but the character’s recovery time is halved. Note that characters with Natural Immunity to a disease can be a carrier, infecting other characters while suffering no ill effects.",Positive,Core,,1,,,0,
70,"Night Vision","2 KARMA","The name says it all. This quality provides characters with the advantages of low-light vision (see Environmental Compensation Table, p. 175, SR5). There is a downside. Thanks to the extremely light-sensitive nature of the eye, the character suffers severely from the glare of the sun (Blinding Glare on a clear day, Moderate Glare on an overcast day, etc.) but can mitigate this with sunglasses per the Environmental Compensation Table. The quality is not compatible with cyber- or bioware augmentation or replacement (meaning if you get any such replacement, this quality goes away, and the character receives no Karma in return).",Positive,SR5:RF,,1,,,0,
71,"Ninja Vanish","5 KARMA","Even the best sometimes get clipped. Maybe you’re in a host, holding off some IC, but there are just too damn many of them. Maybe you’re in the middle of a firefight and the enemy hacker is getting the best of you, and you’re moments away from having your deck reformatted, when suddenly, the Matrix glitches. A little localized reset saves your bacon. Just like that. What are the odds, neh? Maybe GOD is on your side? That can’t be you must just be that good. As a Free Action, the character can spend 1 point of Edge to remove all marks a single opponent has on him. Note that in cases where other targets were sharing marks with your target, such as IC in a host, the others also lose their marks.",Positive,SR5:DT,,1,,,0,
72,"One Trick Pony","7 KARMA","You’ve watched the same action trid or chipped your way through the same simsense so many times you actually know how to do that really cool move the star always uses. This quality allows the character to choose one Martial Arts technique they can do without first learning the associated Martial Arts style.",Positive,SR5:R&G,,1,,,0,
73,"Online Fame","4 KARMA","Congratulations, you’re famous! Well, sort of. You are only famous as a Matrix persona. Maybe you’re a famous blogger, an online gaming hero, or a cyberpunk roleplaying-game freelance author (be still your beating heart). People know your icon and your signature, but even your most ardent fan wouldn’t recognize you if they passed you in the street on a brightly lit day. Further, none would actually believe you if you tried to tell them (quite the opposite, in fact). You gain +2 dice to your Social tests and +2 dice to your Social Limit when interacting with someone who knows you, but only when you interact with them via the Matrix. Characters who see your icon are able to identify you with a successful Intuition + Logic (2) Test.    Any character who is able to see both your icon and your physical self is thrown into a conflict. Either they will believe you are truly him, or they will refuse to believe and think you are trying to impersonate, erm, yourself. If they believe you, your bonus becomes +3 on Social Tests and Social Limit toward your ecstatic fan, which now applies to all interactions, not just Matrix ones. However, if they do not believe you, you suffer –4 to all Social interactions. In addition, the character may outright attack you or call the police to report you. To determine a character’s reaction, the gamemaster may roll a single D6. On a roll of 5 or 6, the character believes you. On any other roll, the character does not.",Positive,SR5:DT,,1,,,0,
74,"Otaku To Techomancer","10 KARMA","You were an otaku, a child of the Matrix, bending the Matrix to the will of your mind alone, before it was cool to do so. Most of your kind, assuming they even survived this long, did not emerge as technomancers. But for you, lightning struck twice—you went from otaku to technomancer. Having known your abilities for longer than just about anyone else alive, dealing with these strange powers is second nature to you. You gain +2 dice when resisting Fading from any source.",Positive,SR5:DT,,1,,,0,
75,Outdoorsman,"3 KARMA","A character with this quality is often described as woodsy. They are far more comfortable in wilderness and rural environments than in the urban blight of the modern city. They are naturals at tracking and hunting, with a sense of direction even a compass could rely on. This quality provides a +2 dice pool modifier for all skills in the Outdoors skill group when in a rural or wild environment. The downside is the character suffers a –1 dice pool modifier to Perception and Survival Tests when in an urban environment.",Positive,SR5:RF,,1,,,0,
76,Overclocker,"5 KARMA","The character is able to coax more juice out of his gear. The character may add 1 point of Rating to one of his cyberdeck’s ASDF attributes. This point can be reallocated as desired any time the cyberdeck is reconfigured.",Positive,SR5:RF,,1,,,0,
77,"Pain Is Gain","5 KARMA","Virtual reality—especially hot sim—can be addictive. But what people don’t understand is how exhilarating slicing through the Matrix really is. Not just the simsense feedback. No. To you, it’s the thrill of the fight. You never feel more alive than that moment when searing white-hot pain hits you between the eyes as the IC tries to fry you. It’s the knowledge that your life is on the line as you redline it, all at the speed of thought, that gets you juiced up.    The character gains +2 to their current Initiative Score on any turn she suffers Biofeedback damage (Stun or Physical). This extra score comes into effect at the same time damage is incurred and lasts only for the current Combat Turn. The character may only gain 2 points of Initiative per Combat Turn in this way, no matter how many times they get slapped around.",Positive,SR5:DT,,1,,,0,
78,Perceptive,"5 KARMA PER RATING","The devil is in the details, and you see those horns regularly. This quality is available at two levels. For 5 Karma, characters receive a +1 dice pool modifier on all Perception Tests, including Astral and Matrix Perception. For 10 Karma, the modifier increases to +2.",Positive,SR5:RF,,2,,"Perception:1,Assensing:1",0,
79,"Perceptive Defender","4 KARMA","Sometimes keeping yourself alive is about staying alert and keeping an eye out for incoming trouble, about knowing what’s coming before it’s time to duck or dive for cover. This quality allows the character to use their Perception skill in place of their Willpower attribute while using Full Defense. Including this skill in the Defense Test means that their Mental limit also applies.",Positive,SR5:R&G,,1,,,0,
80,"Perfect Time","5 KARMA","Who needs a watch when you’re around? The character with this quality always knows the time, down to the minute, and has a perfect sense of rhythm and timing. This perfect sense can only be obstructed through prolonged isolation, unconsciousness, or distortion of temporal perception through drugs, chips, or an extended period in the Matrix. This quality provides two game benefits: a +1 dice pool modifier for Performance Tests involving timing and rhythm, along with an additional Free Action during every Action Phase.",Positive,SR5:RF,,1,,,0,
81,"Photographic Memory","6 KARMA","A character with Photographic Memory can instantly recall facts, dates, numbers, or anything else he has seen or heard. The character gains a +2 dice pool modifier to all Memory Tests.",Positive,Core,,1,Memory:2,,0,
82,Poisoner,"5 KARMA","Your experience with using poison has taught you a few tricks to make it more effective. Increase the Power of any Toxins you use by 1.",Positive,SR5:HT,,1,,,0,
83,"Poor Link","8 KARMA","There’s a haze to the character’s aura that makes connecting over a distance difficult. All ritual sorcery, including friendly efforts, directed at the character receives a –2 dice pool modifier for the Ritual Spellcasting Test during Step 7: Seal the Ritual. The character also has a +2 dice pool modifier for any Resistance Tests she might have to make against the ritual, including against friendly rituals.",Positive,SR5:RF,,1,,,0,
84,"Practice, Practice, Practice","2 KARMA","Constantly striving to perfect a certain ability has paid off. Increase your limit by 1 in a single non-combat skill.",Positive,SR5:HT,,1,,,0,
85,"Prime Datahaven Membership","7 KARMA","JackPoint, the Nexus, the Helix—legendary sites of information sharing among the shadowrunner elite. Access to these sites is invitation-only, and guess what you’ve been invited! You’ll be a probationary member for a while, but that’s still not bad. You pretty much gain access to most of the information you might ever want, you’re just not necessarily privy to the administrative secrets of the haven and some of the more sensitive posts. These sites all operate on a give-to-be-given, information-should-be-free mentality. You will be expected to feed the dataHaven with regular posts sharing your expertise and detailing some of the things you encounter, though it is accepted as a mark of professionalism to censor your information so as to not include names or details that might lead to identification of the specific players involved.    When choosing this quality, pick one of these famous datahavens. It will act as a Group Contact (p. 176, Run Faster). The Group Contact is considered to have a Loyalty of 3 and Connection of 5.",Positive,SR5:DT,,1,,,0,
86,"Privileged Family Name","7 KARMA","With this quality the character’s family is exceptionally well-connected, and his real name carries significant clout in his home sprawl (selected at character creation). Though probably known as a rich, spoiled brat, the name (and accompanying SIN and ID) is like a get-out-of-jailfree card for small misdemeanors (such as being caught carrying a weapon, casting an unauthorized mental manipulation spell, or driving a car without a license). Even when trying to act tough, local minor NPCs suffer a –2 dice pool modifier on Social tests against the character. In order to have this quality the character must also possess the SINner (National or Corporate) quality. Remember that this quality also makes the character very easy to identify if those not concerned with their family name start asking questions.",Positive,SR5:RF,,1,,,0,
87,Profiler,"3 KARMA","If you know someone well, you can often guess their actions. Simple enough in theory, and something that you have mastered. Given enough information about someone, you are able to get into their head and know what buttons to push and how to manipulate them. With an appropriate dossier on a person and one hour to study it, you gain a modifier to your dice pool and your Social Limit on all Social Tests involving that person, equal to the net hits on a Matrix Search test (maximum +3).    An appropriate dossier can be gathered via a Matrix Search test. The threshold is always at least 3, but depending on the individual may be as high as 6 (gamemaster’s discretion). The information required is always Obscure (–2 modifier) and may be On Another Grid (further –2 modifier, gamemaster’s discretion).    The downside to the character’s ability to profile others so well is an inability to react smoothly when unprepared. The character suffers –1 to their Social Limit in any and all situations where they could not prepare.",Positive,SR5:DT,,1,,,0,
88,"Prototype Transhuman","10 KARMA","There are always rumors in the shadows of this or that megacorp or organization working to build an army of super soldiers. Those rumors always seem to persist, always seem to be around. Some choose to believe, others don’t, but for them, it’s a matter of opinion. For you, it’s a matter of fact. You are an extremely rare, genetically crafted, experimental post-human prototype.    Unfortunately, this has its ups and downs. You were built better than a normal human, so you may pick up to 1 point of Essence of bioware (not cyberware). While you must pay the normal cost in nuyen of the bioware and otherwise follow all character creation rules, you do not incur any essence cost. So, essentially, you gain up to 1 point of free Essence to be used exclusively on bioware. These special organs were genetically grown into you from your inception—they are as much a natural part of you as your liver or heart.    However, the downside of being a rare, one-of-akind transhuman prototype is that, well, something is wrong with you. As part of this Quality, you must also pick one of the following negative qualities: Wanted, Allergy (Common, Mild), Astral Beacon, or Insomnia (10). You do not get the Karma bonus for this Negative Quality. This additional Negative Quality represents that you are either wanted back by your manufacturer, or that there is something wrong with you (them’s the breaks for being a prototype).    This quality can only be taken during character creation.",Positive,SR5:CF,,1,,,0,
89,"Quick Config","5 KARMA","Maybe you’re just nova-hot at moving your fingers around, or maybe your mind is highly organized. Whatever the case, reconfiguring your deck is something you do with freakish rapidity. Whenever you reconfigure your deck (p. 228, SR5), you can make two changes with a single Free Action. So, you may switch two programs for two others, or you can swap two pairs of cyberdeck attributes. You can also swap one program and one attribute pair. Note that a single attribute can only be swapped once, so there is still a limit to how much the new config can achieve.",Positive,SR5:DT,,1,,,0,
90,"Quick Healer","3 KARMA","A character with the Quick Healer quality receives a +2 dice pool modifier to all Healing Tests made on/for/by her, including magical healing.",Positive,Core,,1,,,0,
91,Rad-tolerant,"3 KARMA","Sometimes characters are just different. Being able to stand on the outskirts of the Cermak Blast and just stare into the nothing for days on end, or even living there with no ill effects can be a blessing in disguise. Characters with this quality double the time before they gain the Blighted quality. Characters also always face one less step for Fatigue from Environments in Radiation environments, just like the Radiation Sponge. This Quality is incompatible with the Radiation Sponge Quality.",Positive,SR5:R&G,,1,,,0,
92,"Radiation Sponge","5 KARMA","Something about the cells of characters with this quality makes them more resistant to radiation’s harmful effects, but it also makes them hold onto that radiation for longer. The character always faces one less step for Fatigue from Environments in Radiation environments, and therefore never faces a Deadly environment. If a character spends time in a Deadly environment, treat it as an Extreme environment for Fatigue purposes; use the Deadly environment times and double the length of time for carrying Radiation with them.  For example, Glowboy is a Radiation Sponge who makes a two-minute jaunt into the heart of Glow City in Redmond to prove a point. He comes out a little tired but excited to tell his pals all about the trip. When his pals start falling over, Glowboy tries to help them but they only seem to get worse. Glowboy is carrying a Deadly environment around with him for 4 minutes after he leaves, plenty of time to kill his less-radiation-friendly pals. He will also be carrying around a Harsh environment for 48 hours and a Mild environment for 48 more. Best he keeps away from other people for awhile.",Positive,SR5:R&G,,1,,,0,
93,Redliner,"10 KARMA","Any cyberlimbs you have installed are jacked-to-themax, with safety limits disabled and performance overclocked beyond what the warranty normally covers, and that’s the way you like it. You receive +1 Strength and +1 Agility for every two full cyberarms or cyberlegs installed, up to a maximum of +2 for both attributes (sorry, no super centipede-man builds). The downside to pushing your ’ware that hard, however, is that the strain is quite damaging. You lose three Physical Condition Monitor boxes per two full cyberarms and legs installed. Normally, every cyberlimb gives you one additional box, but with this quality, after two full limbs you end up with net one less box (i.e., –1 instead of +2).",Positive,SR5:CF,,1,,,0,
94,"Resistance to Pathogens and Toxins","8 KARMA","A character with Resistance to Pathogens/Toxins can fight off diseases and drugs more easily than other characters and receives a +1 dice pool modifier to Resistance Tests. This quality comes at two levels: at 4 Karma the character is resistant to either pathogens or toxins, not both. If the character purchases this quality at 8 Karma, she receives the +1 modifier for resisting both.",Positive,Core,,1,,,0,
95,"Restricted Gear","10 KARMA PER ITEM","Right place, right time, right friend, or the stars aligned. No matter the reason, the character has managed to acquire or get a line on one piece of really hard-tofind gear she absolutely had to have. The character can take this quality up to three times; only one of those times can occur at character creation. Selecting it at character creation allows the character to buy a piece of gear with an Availability of up to 24 (circumventing the normal Availability limit at character creation). After character creation, taking this quality lets the character purchase one piece of gear with an Availability up to 18 during play with just a single commcall. They do, however, have to pay an extra thirty percent for the item.",Positive,SR5:RF,,3,,,0,
96,"Revels In Murder","8 KARMA","Calling you psychotic might be going too far, but in any case it’s doubtful anyone is going to debate the point to your face. Killing brings you joy. Maybe it’s the thrill of the ultimate test of your skills, the ultimate redline, kill or be killed, and the triumph of victory that keep you going. Maybe you just like gore. The Sixth World is a cold place, chummer, and you get your kicks where you can.    When a character with this quality uses a point of Edge as part of an offensive combat action against a target and causes enough damage to send that target into physical overflow, the character immediately regains the spent point of Edge.    To qualify, the target must be aware of the possibility of damage and not willing to receive it, and they must be a metahuman (human, ork, troll, elf, dwarf, or any associated metavariant). Critters, spirits, and the like do not count. In case of doubt as to whether a target counts or not, the gamemaster has final say.",Positive,SR5:CF,,1,,,0,
97,"School Of Hard Knocks","4 KARMA","The streets were this character’s classroom. Thanks to all the time spent trying to stay one step ahead of the next guy, and knowing that knowledge is power on the streets, the character can buy Street Knowledge skills at a rate of 2 for 1 during character creation. After character creation, Street Knowledge skill ranks of 3 or higher receive a 1 Karma cost reduction for each rank.",Positive,SR5:RF,,1,,,0,
98,"Sense Of Direction","3 KARMA","Sometimes the compass asks you which way is north. This quality allows even the most citified character to always know true north. With even a single rank in the Survival skill, she can always retrace her path. She can also estimate distances traveled accurately within a few meters as long as she is alert and able to perceive her surroundings when traveling. The quality offers a +1 dice pool modifier on Navigation skill tests.",Positive,SR5:RF,,1,,Navigation:1,0,
99,Sensei,"5 KARMA","You don’t know what you don’t know. This quality gives you someone who knows what you don’t know and has chosen you to be the recipient of their knowledge. The character selects a skill or skill group for their Sensei to have mastered when the quality is purchased. They must have a contact of Connection Rating 3 or higher with expertise in the area they will teach the character. If they choose a single skill, the Sensei has the skill at a Rating of 13, as well as an Instruction Test dice pool of 10 and a limit of 7. If a skill group is chosen, the Sensei has it at 12 and has an Instruction Test dice pool of 12 with a limit of 8. The Sensei charges nothing for her services to the character, and she generally should be available to the character, though the specifics of the relationship are under the gamemaster’s discretion.",Positive,SR5:RF,,1,,,0,
100,Sharpshooter,"4 KARMA","Through focus and vigilance it’s possible to hone a shooting skill to the point of an excess of precision. This honing means that specific techniques are trained to the point of perfection, but in that training, other, more basic maneuvers are skipped over. Characters with this quality are more skilled at making Called Shots, but at the cost of their basic shooting skills. Penalties for Called Shots are decreased by 2, while all other Ranged Attack actions suffer a –1 dice pool penalty.",Positive,SR5:R&G,,1,,,0,
101,"Solid Rep","2 KARMA","The character has a solid (2 Karma) or legendary (4 Karma) reputation within a certain group. He did something amazing for the group once; old members talk about it with fond memories and new recruits want to find out all about it. The character gets a Reputation bump with a certain specific group; +1 for a solid rep, +2 for a legendary rep. Even if the character goes on to do negative things to that group, his reputation is such that people want to believe it’s a just a misunderstanding. The selected group should generally have around one to five thousand members. The quality can only be taken once.",Positive,SR5:RF,,1,,,0,
102,Spacer,"3 KARMA","Some people are just naturally comfortable in alternative-gravity environments. They perform every action with a certain additional grace and style. These characters gain a +1 dice pool bonus to all Physical actions taken in a gravity other than Earth norm.",Positive,SR5:R&G,,1,,,0,
103,"Speed Demon","3 KARMA","Pushing your vehicle to its limits makes the hair on the back of your neck stand up, but in a good way. You feel alive, alert, and ready to do anything. This increased intensity gives you a +1 dice pool bonus to Pilot tests for a vehicle that is moving at a speed attribute of 3 or higher (4 for aircraft). Note that your character must either be directly in the vehicle he is piloting or jacked in; the bonus does not apply to vehicles that are simply being piloted remotely.",Positive,SR5:R5.0,,1,,,0,
104,"Speed Reading","2 KARMA","When you found out the professor was offering an open-book final that could count as one hundred percent of your grade, you covered a year’s tuition by betting you could ace it without ever attending a single class. With this quality, a character can read through a full page of written text (about 800 words) in about five seconds or an 800-page textbook in about an hour. The information read is not memorized (unless the character also possesses the Photographic Memory quality, p. 76, SR5, which allows a test for anything in the book after it is read), but the reader can gain a basic understanding of the contents. If attempting to locate a specific piece of information, phrase, or subject while in the process of reading, the character can attempt a Logic + Intuition Extended Test with a threshold and interval determined by the gamemaster based on the Tests she might have to make against the ritual, including against friendly rituals.",Positive,SR5:RF,,1,,,0,
105,"Spirit Affinity","7 KARMA","Available only to magic users, the Spirit Affinity quality allows a character to be attuned to one type of spirit (see Spirits, p. 303). These spirits find the character interesting, are drawn to her, and are more inclined to assist her. They may be reluctant to attack the character, and if forced to do so they are likely to use nonlethal power. Watchers and minions do not count for this quality as they are constructed and are not summoned like normal spirits. Spirit Affinity provides magicians with 1 additional spirit service for each spirit of that type, and it also provides a +1 dice pool modifier for Binding Tests.  Magic users may possess this quality for a type of spirit that is not part of their magical tradition.",Positive,Core,,1,,,0,
106,"Spirit Champion","14 KARMA","Something you did had a lasting, positive effect on the astral plane, and the whole spirit world is talking about it. Characters with this quality may spend (Force x 5) drams of reagents when performing a Summoning Test to receive a +1 dice pool modifier, in addition to any reagents spent to set the limit for the test. Also, Binding Tests require only (Force x 20) drams of reagents, and the summoner receives a +1 dice pool modifier.",Positive,SR5:SG,"Able to Summon",1,,,0,
107,"Stunt Driver","4 KARMA","Whether it’s because you spent some time working for a trip studio in LA or because you taught yourself some fancy moves while passing time in the barrens driving some junker car, you developed particular skill behind the wheel/helm/control stick of a vehicle and can pull off stunts with a grace and ease that others envy. When making any vehicle Stunt test (see p. 204, SR5), you receive a +2 dice pool bonus.",Positive,SR5:R5.0,,1,,,0,
108,"Subtle (Vehicle) Pilot","4 KARMA","Other riggers can be flashy or showy, but you know the value of getting your work done while appearing like part of the normal traffic—or like part of the background you’re passing. When you are piloting a craft on the ground, in the water, or in the air, anyone trying to spot you gets a –2 dice pool penalty to their Perception Test to find you. This includes drones, as long as you are directly controlling them instead of letting your software for the work. This quality can be selected once for each particular Pilot skill, including the various Pilot Exotic Craft skills. The type of craft it applies to must be selected when it is purchased.",Positive,SR5:R5.0,,1,,,0,
109,"The Artisan's Way","20 KARMA","In keeping with their affinity for all things technological, adepts of the Artisan’s Way are able to alter the standard Adept Centering metamagic ability (p. 325, SR5) to grant bonuses for either Active Vehicle skills or Active Technical skills. Bonding a qi focus (p. 319, SR5) that enhances the adept’s Improved Ability (any Technical and Vehicle skill) power costs two Karma less than normal.  Artisans may choose to use their Way discount bonus on the following skills: Analytics, Enhanced Perception, Heightened Concentration, Improved Ability (any Technical or Vehicle skill), Improved Potential (Mental only), Metabolic Control, Three-Dimensional Memory.",Positive,SR5:SG,Adept,1,,,0,
110,"The Artist's Way","20 KARMA","Master creators or entertainers, those who follow the Artist’s Way channel their energies into inspiring people and showing them the beauty of the Sixth World. As such, they’re able to use standard Adept Centering to negate any negative modifiers during a Performance Test for an artistic performance or an Artisan Test for the creation of an artwork. They can also bond a foci that enhances their Improved Ability (Artisan) power for two Karma less than normal.  Artists may choose to use their Way discount bonus on the following skills: Astral Perception, Cool Resolve, Enhanced Perception, Improved Ability (Artisan), Kinesics Mastery, Metabolic Control, Nimble Fingers, Voice Control.",Positive,SR5:SG,Adept,1,,,0,
111,"The Athlete's Way","20 KARMA","These adepts focus their energy on only one thing: honing their bodies for maximum performance to become the absolute best at whatever sport, game, or competition they’ve chosen. As such they receive a +1 effective initiate grade while using the Adept Centering technique for any skill from the Athletics skill group.Athletes may choose from the following skills for their Way discount bonus: Great Leap, Improved Ability, Improved Physical Attribute, Improved Potential, Pain Resistance, Skate, Spirit Ram, Rapid Healing, Wall Running.",Positive,SR5:SG,Adept,1,,,0,
112,"The Beast's Way","20 KARMA","Adepts who follow this path are under the guidance of an animal mentor spirit, which they refer to as their totem, similar to some shamans. Through the emulation of their totem, these adepts seek to improve themselves, and like followers of the Spiritual Way, they’re considered to be more spiritual than the average adept. As such, they receive all the bonuses and drawbacks associated with their personal totem.  Because of their unique outlook, followers of the Beast’s Way have an above-average rapport with nature and gain a +1 situational bonus to all Animal Handling Tests; however, if the adept’s totem is a predatory one, this bonus does not apply against animals that totem would normally consider prey. When dealing with the same animal as their totem, the adept gains an automatic +4 for any Animal Handling Tests involving them.  Followers of the Beast’s Way may choose from the following skills for their discount bonus: Animal Empathy, Astral Perception, Berserk, Combat Sense, Elemental Strike, Enhanced Perception, Killing Hands, Magic Sense, Mystic Armor, Motion Sense, and Traceless Walk. In addition, Beast’s Way adepts are able to choose one power other power for the discount.",Positive,SR5:SG,Adept,1,,Animal_Handling:1,0,
113,"The Burnout's Way","15 KARMA","Those who have embraced technology in all the wrong ways or felt the need to take shortcuts to achieve power and performance find themselves on this “Way.” Often they become mere shells of themselves. Most do not start as a Burnout; it’s usually something that happens to them. To start this path after character creation, the adept must have lost or sacrificed at least 2 points from their Magic rating to any kind of augmentation that lowers essence.  If the Burnout previously had a true Way, then they must pay back any discounted powers by rearranging or sacrificing current powers until the values match the adept’s new Magic Rating. They are, however, allowed to keep whatever metamagics they may have previously earned through initiation. To compensate for this loss, Burnouts are considered to be more compatible with augmentations: treat any standard augmentations the adept acquires after burning out as being alphaware grade for purposes of Essence loss, though not for purchase costs. (All other grades function as normal). Note that lost Essence due to new augmentations will reduce Magic as normal (p. 54, SR5).  As long as the adept still has a Magic Rating, he can still continue to initiate and gain more Magic and adept powers. Once he gains two Magic Rating points after taking the Burnout quality, he loses the quality, though he keeps the benefits gained up until that point (meaning the Essence cost of his augmentations do not change).",Positive,SR5:SG,Adept,1,,,0,
114,"The Invisible Way","20 KARMA","Master spies, infiltrators, and assassins—all are common followers of the Invisible Way. What more can be said?Because a follower of this way generally prefers stealth to direct, open combat, bonding a focus that enhances a physical non-combat skill costs two less Karma than normal.  Followers of the Invisible Way may choose from the following skills for their discount bonus: Blind Fighting, Combat Sense, Critical Strike, Enhanced Perception, Great Leap, Hands, Motion Sense, Nerve Strike, Skate, Three-Dimensional Memory, Traceless Walk, Wall Running.",Positive,SR5:SG,Adept,1,,,0,
115,"The Magician's Way","20 KARMA","One of the most popular Ways for mystic adepts, the Magician’s Way seeks to find balance between physical and magical abilities—or at least find what works best for the adept. Because of the time the adept spends on her sorcery and spellcasting abilities, many feel that she is not truly embracing either aspect. Adepts who practice this Way feel they are simply trying to either make the best of what they have or find the best of both worlds.  Unlike their physical counterparts, mystic adepts following this Way have access to all non-adept metamagic abilities for which they meet the prerequisites. And because they do not specialize as much as other adepts (and do not receive a bonus besides the discount on Power Point cost), followers of this Way are able to choose any power they want for the discount, with the exception of Improved Reflexes.",Positive,SR5:SG,Adept,1,,,0,
116,"The Speaker's Way","20 KARMA","Often called social adepts, Speakers are some of the best faces in the biz. Adepts of the Speaker’s Way are highly talented negotiators, fixers, and motivators. They use words the way a samurai uses his sword, talking themselves in and out of situations that would kill others. When it comes to changing people’s minds or getting them to do something, accept no substitutes. Speakers receive a +1 to their dice pool when using flexible signature and masking metamagical techniques. In addition, the Karma cost for bonding foci that increase their Improved Ability (Social skill) power is two less than normal.  Speakers can apply their Way discount bonuses to the following powers: Analytics, Cool Resolve, Enhanced Perception, Improved Ability (Social skill), Improved Potential (Mental or Social), Kinesics Mastery, Three-Dimensional Memory, Voice Control.",Positive,SR5:SG,Adept,1,,,0,
117,"The Spiritual Way","20 KARMA","Those who follow this path are under the guidance of a mentor spirit, similar to shamans. Through the emulation of their mentor spirit, these adepts seek to improve themselves and are considered to be more spiritual than the average adept. As such, they receive all the bonuses and drawbacks associated with their particular mentor spirit.  Because of their more spiritual outlook, adepts of the Spiritual Way have an above-average rapport with spirits, which conveys a +1 situational bonus to all Conjuring Tests. And when dealing with other magicians who follow the same mentor spirit, the adept gains an automatic +2 dice pool bonus for any social tests involving them.Followers of the Spiritual Way may choose from the following skills for their discount bonus: Astral Perception, Elemental Strike, Elemental Weapon, Enhanced Perception, Killing Hands, Magic Sense, Mystic Armor. In addition, Spiritual Way adepts may choose one power from another Way’s list for the discount.   ",Positive,SR5:SG,Adept,1,,,0,
118,"The Warrior's Way","20 KARMA","The Warrior is the type that most mundanes associate with the word adept. These elite combatants dedicate their lives to forging their bodies into lethal weapons or engines of war. Combat is their calling, and they excel at it, accomplishing through skill and magic what others use augmentations to accomplish.  Bonding a weapon focus costs two less Karma than normal for those following the Warrior’s Way. Warriors can choose from the following list of powers for their discount: Blind Fighting, Combat Sense, Counterstrike, Critical Strike, Improved Ability, Improved Potential (Physical), Killing Hands, Missile Mastery, Motion Sense, Rapid Draw.",Positive,SR5:SG,Adept,1,,,0,
119,"Too Pretty To Hit","3 KARMA","It’s more about force of personality than actually being pretty—sometimes a character just has a presence about them that keeps people from shooting straight. The character can use their Charisma attribute instead of their Willpower attribute while using Full Defense.",Positive,SR5:R&G,,1,,,0,
120,Toughness,"9 KARMA","Characters with the Toughness quality shrug off damage more easily than others. Such characters gain a +1 dice pool modifier to their Body when making Damage Resistance tests.",Positive,Core,,1,DamageResist:1,,0,
121,"Trust Fund I","5 KARMA","Everyone knows you’re in the shadows for the rush or to fulfill some kind of Batman wannabe fantasy. Every month your trust fund spills out enough to live off, but just living is boring. A character with this quality possesses a lifelong trust fund or inheritance that is managed by another party (a trustee). The quality has four versions depending on just how rich and shady a runner is willing to be. For 5 Karma, the trust fund income covers a Middle lifestyle with 500 nuyen left over each month. For 10 Karma, the income covers a Low Lifestyle but offers the character 2,000 + (3D6 x 100) nuyen each month thanks to a deal with their landlord to rip off the trustee. For 15 Karma, the income covers a High Lifestyle with 1,000 nuyen left over. For 20 Karma, the money covers a Middle Lifestyle and offers 3,000 + (6d6 x 100) nuyen thanks to one of those special deals. The character must also possess the SINner (National or Corporate) quality; additionally, the lifestyle they pay for cannot be paid for through other sources and is part of the records connected to the SIN. None of these lifestyles can be shared on a long-term basis, as the landlords are leery of anyone staying at the place and possibly ruining their deal. Note that there is a chance that if the character is caught breaking the law, the trustee may suspend benefits at the gamemaster’s discretion.",Positive,SR5:RF,,1,,,0,
122,Trustworthy,"15 KARMA","There’s just something about your baby face, good manners, or personality that makes others want to trust you. This quality provides a +1 dice pool modifier to all Skill Tests for skills in the Influence skill group and increases the character’s Social Limit by 2 for situations involving trusting the character.",Positive,SR5:RF,,1,,,0,
123,"Uncanny Healer","12 KARMA","The character has always been a fast healer, recovering from injuries with almost supernatural speed. Characters who embrace augmentation soon discover that it interferes with their unnatural healing ability, however. The character adds their current Essence attribute as a dice pool modifier to all Natural Recovery Healing Tests for both Stun and Physical damage (p. 207, SR5). This does not affect magical healing or First Aid tests performed by others. This quality cannot be combined with Quick Healer (p. 77, SR5).",Positive,SR5:CF,,1,,,0,
124,"Vehicle Empathy","7 KARMA","Sometimes you feel like your heart pumps 108 octane instead of simple blood. Characters with this quality have an inexplicable understanding of and connection with anything they drive. Whenever the character is in physical control of a vehicle, either through manual controls or jacked into the vehicle via cable (but not Jumped In), they gain a +1 dice pool modifier for all appropriate Pilot Skill tests and increase the Handling Rating by 1.",Positive,SR5:RF,,1,,,0,
