Row,Name,MaxRating,MinRating,Type,Part,Essence,Capacity,Availability,Cost,Description,Wireless,Source,Base,Container,Attachable,Bonus,Skill
56,"Reflex Recorder (Skill)",1,1,Bioware,Cultured,0.1,-,10,"14,000¥","The first step in this particular recipe is growing some extra neural material in a small cluster. When thatâ€™s fully cooked, you drop it in the skull and attach it to the nerves for motor reflexes. Then boom, youâ€™ve got a metahuman with better muscle memory. The reflex recorder adds 1 to the Rating of a specific skill linked to a Physical attribute. Multiple recorders may be taken for multiple skills, but you canâ€™t implant two reflex recorders for the same skill. Reflex recorder bioware is incompatible with skillwires cyberware.",NULL,Core,1,0,0,,
57,"Sleep Regulator",1,1,Bioware,Cultured,0.1,-,6,"12,000¥","The sleep regulator is a modification to the hypothalamus, allowing for longer periods of wakefulness, an incredibly useful advantage for anyone with any profession, not just shadowrunners. You need less sleep per day and the sleep you get is deep and restful (and harder to wake you up from). The sleep regulator lets you get by with three hours of sleep each night and stay awake for twice as long as normal before having to resist sleep deprivation fatigue (p. 172). Resting hours for healing purposes are not affected.",NULL,Core,1,0,0,,
58,"Synaptic Booster",3,1,Bioware,Cultured,"Rating x 0.5",-,"(Rating x 6)R","Rating x 95,000¥","The nerve cells making up the spinal cord are both broadened and replicated with this bioware, allowing for more neural bandwidth. The result is a much faster reaction time. The booster confers a bonus of +1 Reaction (and accompanying adjustment to Initiative and Physical limit) and +1D6 Initiative Die per point of Rating. The synaptic booster cannot be combined with any other form of Reaction or Initiative enhancement.",NULL,Core,1,0,0,"Reaction:[Rating],InitiativeDice:[Rating]",
59,"Boosted Reflexes",1,1,Bioware,Cultured,1,-,8R,"10,000¥","Amplification of the spinal cord and a general expansion of the nervous system result in a body that’s more responsive to external stimuli and has superior autonomous reactions. This can be problematic, as those whose responses naturally gravitate toward violence can lash out at perceived threats where none truly existed, causing friction with loved ones and awkwardness in social situations. It should be noted that, due to the nature of the modification, boosted reflexes may not be removed once installed, and they are incompatible with any other Initiative-modifying augmentation. A user with boosted reflexes gains +1D6 for Initiative.",NULL,SR5:CF,1,0,0,,
60,"Cerebellum Booster",2,1,Bioware,Cultured,"Rating x 0.2",-,"Rating x 8","Rating x 50,000¥","This one’s a sort of Holy Grail for neuro-amplification. While the cerebral booster’s been established for twenty years, increasing the user’s instinctive nature has eluded researchers. It was a breakthrough in Aztechnology’s research that finally found the key; rather than a focus on the hindbrain, the right target was in the cerebellum. With careful amplification of the lateral cerebellum, the inception of movement and absorption of sensory data can be sped up, resulting in a more intuitive response to external stimuli and an improved joining of thought to action in an expressive sense. That is to say, it makes the user more instinctive and able to respond to stimuli without those pesky higher-functions needing to be involved. The cerebellum booster increases the user’s Intuition attribute by its Rating.",NULL,SR5:CF,1,0,0,Intuition:[Rating],
61,"Knowledge Infusion",1,1,Bioware,Cultured,0.1,-,12,"2,000¥","A true breakthrough in RNA transference, a knowledge infusion stands between biomodification and genetic tweakery, but the core concept is easier to illustrate than detail. It can implant basic knowledge right into your brain! Go in, get a shot, and suddenly you speak Swahilli. Totally. Wiz. A knowledge infusion gives characters 1 point of a single knowledge or language skill that they did not previously possess (chosen when the infusion is purchased). This skill may be later raised with Karma as normal.",NULL,SR5:CF,1,0,0,,
62,"Limb Replacement",1,1,Bioware,Cultured,0.2,-,6,"2,000¥","The basics are covered elsewhere for Type O transplants, but cultured limb replacements, while more expensive, have no discernible impact on the user’s body integrity. If you have a Gold or better health insurance contract, you have a wimp on hand to allow for replacement within forty-eight hours. If not, you’re looking at a week’s worth of clonal growth until you’re matched. Cultured limb replacement comes with the user’s attributes, sans modification, straight out of the box.",NULL,SR5:CF,1,0,0,,
63,"Limb Replacement Finger/Toe",1,1,Bioware,Cultured,-,-,4,"2,000¥","The basics are covered elsewhere for Type O transplants, but cultured limb replacements, while more expensive, have no discernible impact on the user’s body integrity. If you have a Gold or better health insurance contract, you have a wimp on hand to allow for replacement within forty-eight hours. If not, you’re looking at a week’s worth of clonal growth until you’re matched. Cultured limb replacement comes with the user’s attributes, sans modification, straight out of the box.",NULL,SR5:CF,1,0,0,,
64,"Limb Replacement Hand/Foot",1,1,Bioware,Cultured,-,-,8,"20,000¥","The basics are covered elsewhere for Type O transplants, but cultured limb replacements, while more expensive, have no discernible impact on the user’s body integrity. If you have a Gold or better health insurance contract, you have a wimp on hand to allow for replacement within forty-eight hours. If not, you’re looking at a week’s worth of clonal growth until you’re matched. Cultured limb replacement comes with the user’s attributes, sans modification, straight out of the box.",NULL,SR5:CF,1,0,0,,
65,"Limb Replacement Half Arm/Leg",1,1,Bioware,Cultured,-,-,12,"40,000¥","The basics are covered elsewhere for Type O transplants, but cultured limb replacements, while more expensive, have no discernible impact on the user’s body integrity. If you have a Gold or better health insurance contract, you have a wimp on hand to allow for replacement within forty-eight hours. If not, you’re looking at a week’s worth of clonal growth until you’re matched. Cultured limb replacement comes with the user’s attributes, sans modification, straight out of the box.",NULL,SR5:CF,1,0,0,,
66,"Limb Replacement Full Arm/Leg",1,1,Bioware,Cultured,-,-,12,"80,000¥","The basics are covered elsewhere for Type O transplants, but cultured limb replacements, while more expensive, have no discernible impact on the user’s body integrity. If you have a Gold or better health insurance contract, you have a wimp on hand to allow for replacement within forty-eight hours. If not, you’re looking at a week’s worth of clonal growth until you’re matched. Cultured limb replacement comes with the user’s attributes, sans modification, straight out of the box.",NULL,SR5:CF,1,0,0,,
67,"Neuro-Retention Enhance",1,1,Bioware,Cultured,0.1,-,4,"10,000¥","A fancy phrasing that essentially means superior shortterm memory. It’s a stripped-down version of the mnemonic enhancer with a fancy title, truth be told. Less effective, but handy. The user gains the Photographic Memory quality.",NULL,SR5:CF,1,0,0,,
68,"Reception Enhancer",1,1,Bioware,Cultured,0.2,-,4,"10,000¥","Reception enhancers were a happy accident, a result of twenty years of looking for what would eventually become the cerebellum booster. The reaction enhancer is an improvement in the data-processing and observation sections of the brain, allowing the user to handle multiple sources of data without being overwhelmed, a key development in dealing with the modern world’s non-stop assault via advertising. By cutting away all the distractions, the user can focus on what’s important. Like the ads. The user ignores distractions and interfering sight/ sound/odor modifiers for Perception Tests (p.135, SR5).",NULL,SR5:CF,1,0,0,,
69,"Reproductive Replacement (Male)",1,1,Bioware,Cultured,0.1,-,8,"8,000¥","While exo-wombs have been the primary form of clone production for decades now, they were predated by primitive endo-womb tech by half a century. Development along those lines stopped around 2050 as the process was effectively perfected, and it continues to be offered today. While it remains an option for males, the longer life of the male reproductive system means that most men who undertake the procedure are simply replacing parts damaged in accidents. The far more invasive female reproduction replacement is used more often for those suffering disease or for those who wish to have the childbearing options. Culturing the replacements from the donor’s DNA is vital to ensure that progeny carries the genetic structure of the parent.",NULL,SR5:CF,1,0,0,,
70,"Reproductive Replacement (Female)",1,1,Bioware,Cultured,0.3,-,4,"20,000¥","While exo-wombs have been the primary form of clone production for decades now, they were predated by primitive endo-womb tech by half a century. Development along those lines stopped around 2050 as the process was effectively perfected, and it continues to be offered today. While it remains an option for males, the longer life of the male reproductive system means that most men who undertake the procedure are simply replacing parts damaged in accidents. The far more invasive female reproduction replacement is used more often for those suffering disease or for those who wish to have the childbearing options. Culturing the replacements from the donor’s DNA is vital to ensure that progeny carries the genetic structure of the parent.",NULL,SR5:CF,1,0,0,,
71,"Trauma Damper",4,1,Bioware,Cultured,"Rating x 0.1",-,"(Rating x 4)R","Rating x 4,000¥","Somewhat misnamed as it doesn’t actually reduce physical damage so much as make the user blissfully resistant to pain, the trauma damper is a series of pain receptors added to the base of the thalamus with one job: crank out endorphins in response to negative stimuli, such as pain or fatigue. In effect, the user experiences a “runner’s high” that counteracts some of the pain while leaving the mind somewhat foggy. There’s a small bio-hack that can keep the user in a constant low level of pain, forcing the body to keep producing endorphins 24/7. Not recommended, but ’dorphs can be found in many communities. The trauma damper reduces the user’s Damage Modifier (p.169, SR5) by up to its Rating, but when doing so it reduces the user’s limits and Reaction by a matching amount.",NULL,SR5:CF,1,0,0,,
72,"Tremor Reducer",3,1,Bioware,Cultured,"Rating x 0.1",-,"Rating x 6","Rating x 10,000¥","The sniper’s best friend, the tremor reducer uses a simple neurological buffer to handle the small tremors that the body naturally produces when trying to be still. Small “sparks” are sent to extremities to ensure that they don’t go numb, while general body shakes are nullified. In addition to allowing a character to remain still for eight hours per point of Rating, the tremor reducer also adds its Rating to the user’s maximum Take Aim modifier (p.166, SR5).",NULL,SR5:CF,1,0,0,,
73,Commlink,1,1,Cyberware,Head,0.2,[2],-,"Commlink + 2,000¥","The implanted version of the commlink (p. 438) comes with a sim module at no additional cost. An integral headware commlink is popular with corporate operatives, company men, and sararimen on the go. Generally speaking, commlinks with a Device Rating of less than 5 are not installed inside your skull, for security reasons.",NULL,Core,1,0,1,,
74,"Control Rig R1",1,1,Cyberware,Head,1,-,5R,"43,000¥","This implant harnesses the raw data-coordinating and synchronization power of the middle brain for the express purpose of directly manipulating rigged vehicles and drones (and other devices with rigger interface, like turrets). It has a built-in sim module, so you can use it for DNI with other devices. It also comes with a universal data connector and about a meter of retractable cable (itâ€™s like getting a free datajack). When youâ€™re jumped into a vehicle or drone, the control rig provides its Rating as a dice pool bonus on all Vehicle skill tests. Additionally, the rating of your control rig is added to the Handling and Speed of any vehicle you are jumped into. As if that was not enough, your Vehicle Test thresholds are reduced by the rating of your control rig (to a minimum of 1), again when youâ€™re jumped in.",NULL,Core,1,0,0,,
75,"Control Rig R2",2,2,Cyberware,Head,2,-,10R,"97,000¥","This implant harnesses the raw data-coordinating and synchronization power of the middle brain for the express purpose of directly manipulating rigged vehicles and drones (and other devices with rigger interface, like turrets). It has a built-in sim module, so you can use it for DNI with other devices. It also comes with a universal data connector and about a meter of retractable cable (itâ€™s like getting a free datajack). When youâ€™re jumped into a vehicle or drone, the control rig provides its Rating as a dice pool bonus on all Vehicle skill tests. Additionally, the rating of your control rig is added to the Handling and Speed of any vehicle you are jumped into. As if that was not enough, your Vehicle Test thresholds are reduced by the rating of your control rig (to a minimum of 1), again when youâ€™re jumped in.",NULL,Core,1,0,0,,
76,"Control Rig R3",3,3,Cyberware,Head,3,-,15R,"208,000¥","This implant harnesses the raw data-coordinating and synchronization power of the middle brain for the express purpose of directly manipulating rigged vehicles and drones (and other devices with rigger interface, like turrets). It has a built-in sim module, so you can use it for DNI with other devices. It also comes with a universal data connector and about a meter of retractable cable (itâ€™s like getting a free datajack). When youâ€™re jumped into a vehicle or drone, the control rig provides its Rating as a dice pool bonus on all Vehicle skill tests. Additionally, the rating of your control rig is added to the Handling and Speed of any vehicle you are jumped into. As if that was not enough, your Vehicle Test thresholds are reduced by the rating of your control rig (to a minimum of 1), again when youâ€™re jumped in.",NULL,Core,1,0,0,,
77,"Cortex Bomb (Kink)",1,1,Cyberware,Head,-,[1],12F,"10,000¥","An illegal method of coercion, cranial bombs come in three flavors: kink, microbomb, and area bomb. Kink bombs are designed to damage only part of the victimâ€™s head, either rendering specific headware useless or damaging the brain to cause blindness, stuttering, hearing loss, or some other trauma. Of course, sometimes when something in your head explodes, things donâ€™t go exactly as planned and the result is a bit â€¦ much. The microbomb version is just powerful enough to kill the unfortunate bearer. Area cranial bombs kill the victim, and they also affect a blast area exactly like a fragmentation grenade (p. 434). The bombs can be remote- or time-detonated, or even set to discharge by sound recognition. If installed in cyberlimbs, these bombs are designed to destroy specific components (kink), the entire limb (regular), or blast the area and damage the bearer (microbomb).",NULL,Core,0,0,1,,
78,"Cortex Bomb (Microbomb)",1,1,Cyberware,Head,-,[2],16F,"25,000¥","An illegal method of coercion, cranial bombs come in three flavors: kink, microbomb, and area bomb. Kink bombs are designed to damage only part of the victimâ€™s head, either rendering specific headware useless or damaging the brain to cause blindness, stuttering, hearing loss, or some other trauma. Of course, sometimes when something in your head explodes, things donâ€™t go exactly as planned and the result is a bit â€¦ much. The microbomb version is just powerful enough to kill the unfortunate bearer. Area cranial bombs kill the victim, and they also affect a blast area exactly like a fragmentation grenade (p. 434). The bombs can be remote- or time-detonated, or even set to discharge by sound recognition. If installed in cyberlimbs, these bombs are designed to destroy specific components (kink), the entire limb (regular), or blast the area and damage the bearer (microbomb).",NULL,Core,0,0,1,,
79,"Cortex Bomb (Area Bomb)",1,1,Cyberware,Head,-,[3],20F,"40,000¥","An illegal method of coercion, cranial bombs come in three flavors: kink, microbomb, and area bomb. Kink bombs are designed to damage only part of the victimâ€™s head, either rendering specific headware useless or damaging the brain to cause blindness, stuttering, hearing loss, or some other trauma. Of course, sometimes when something in your head explodes, things donâ€™t go exactly as planned and the result is a bit â€¦ much. The microbomb version is just powerful enough to kill the unfortunate bearer. Area cranial bombs kill the victim, and they also affect a blast area exactly like a fragmentation grenade (p. 434). The bombs can be remote- or time-detonated, or even set to discharge by sound recognition. If installed in cyberlimbs, these bombs are designed to destroy specific components (kink), the entire limb (regular), or blast the area and damage the bearer (microbomb).",NULL,Core,0,0,1,,
80,Cyberdeck,1,1,Cyberware,Head,0.4,[4],5R,"Cyberdeck + 5,000¥","Simply put, youâ€™ve got a deck in your body. This is a very convenient for ther hacker on the go and is often sported by G-men and military deckers.",NULL,Core,1,0,1,,
81,Datajack,1,1,Cyberware,Head,0.1,-,2,"1,000¥","A datajack gives you a direct neural interface (p. 222), which can be handy in a lot of situations. It also comes with a retractable spool of micro-cable (about a meter long) that lets you directly interface with any electronic device via a universal access cable. Datajacks are equipped with their own cache of storage memory for downloading or saving files. Two datajack users can string a fiberoptic cable between themselves to conduct a private mental communication immune to radio interception or eavesdropping.",NULL,Core,1,0,0,,
82,"Data Lock",12,1,Cyberware,Head,0.1,-,"Rating x 2","Rating x 1,000¥","This special datajack is popular with couriers, spies, diplomatic aids, and executive liasions. Effectively, it turns the character in whom it is installed into a walking data safe. The data lock has a Device Rating equal to its own rating, and it protects the data from anyone not authorized to access it (possibly including you). Data locks are not wireless enabled; they can only be accessed via universal data connector. In fact the bearer of the implant doesnâ€™t have mental access to the dataâ€”theyâ€™re only a carrier.",NULL,Core,1,0,0,,
83,"Olfactory Booster",6,1,Cyberware,Head,0.2,-,"Rating x 3","Rating x 4,000¥","This cybersnout enhances, identifies, and records smells, and can play them back later. The massively enhanced olfactory capabilities of a sniffer open up a whole new world of sensory data to youâ€”youâ€™ll be able to sense things that ordinarily only a scenthound would. You can smell peopleâ€™s emotions in their sweat (and if applicable, the makerâ€™s mark of their tailored pheromones), traces of ammunition propellant, explosives, or biological and chemical warfare compoundsâ€”the list goes on and on. A cut-off function allows you to completely ignore intense odors, possibly the most convenient feature for use in your daily life. The olfactory booster can even be used in VR to create an even more immersive experience. Add the boosterâ€™s rating as a dice pool modifier to your scent-based Perception Tests.",NULL,Core,1,0,0,,
84,Simrig,1,1,Cyberware,Head,0.2,-,12R,"4,000¥","An implanted version of the simrig described on p. 439, this headware implant allows you to record sensory data for later replay (or sale if youâ€™re really interesting).",NULL,Core,1,0,0,,
85,Skilljack,6,1,Cyberware,Head,"Rating x 0.1",-,"Rating x 2","Rating x 20,000¥","This headware interprets knowsofts and linguasofts for your brain so you can use them as though they were your own. It can also run activesofts, but they only act as Knowledge Skills unless you have skillwires (p. 455). The total of all skills running on a skilljack cannot exceed its Rating x 2, and the maximum Rating for a skill is the skilljackâ€™s Rating. Starting skills from storage and stopping skills is a Free Action. You canâ€™t use Edge with skills you have through a skilljack. If you have more than one skilljack, only one of them can operate at a time. Wireless: The extra boost from the Matrix increases the total Rating limit to the skilljackâ€™s Rating x 3.",NULL,Core,1,0,0,,
86,"Taste Booster",1,1,Cyberware,Head,0.2,-,"Rating x 3","Rating x 3,000¥","The taste booster performs the same function as the olfactory booster, except that it enhances your taste buds. The taste booster also lets you experience gustatory data in AR and VR environments with a â€œtaste trackâ€�â€”caveat emptor on that one, chummer. Apply the taste boosterâ€™s rating as a dice pool bonus to any Perception Test involving taste.",NULL,Core,1,0,0,,
87,"Tooth Compartment",1,1,Cyberware,Head,-,-,8,800¥," The oldest cyberware on the market, these hollow teeth come in storage and breakable models. The storage model is used to smuggle really, really tiny contraband, the size of a datachip or a really small RFID tag. Items can be removed with a wireless signal or hidden catch. The breakable model triggers a linked effect (such as starting a tracking signal, or releasing deadly poison into your mouthâ€”make sure you remember which is which!) with a wireless signal, or it may trigger when you bite down hard on the tooth.",NULL,Core,1,0,0,,
88,"Ultrasound Sensor",6,1,Cyberware,Head,0.25,[2],10,"Rating x 12,000¥","This cyberware is exactly like the ultrasound sensor. When active, it replaces your normal vision. It can be switched between active sonar, passive sonar, and off with a Free Action.",NULL,Core,1,0,1,,
89,"Voice Modulator",6,1,Cyberware,Head,0.2,-,"Rating x 3F","Rating x 5,000¥","This implant gives you perfect pitch and enormous vocal flexibility and distortion capabilities. You can speak with an increased volume (up to 100 decibels) without strain, shift your pitch to make perfect bird calls or mellifluous singing, and most importantly, uncanny vocal impressions. The modulator can also play back (and more or less perfectly imitate) a recorded or captured voice. Add the Rating of the modulator to your dice pool for Impersonation skill tests.",NULL,Core,1,0,0,,Impersonation:[Rating]
90,"Attention Coprocessor",1,1,Cyberware,Head,0.2,[1],8,"3,000¥","True wetware-based multitasking remains annoyingly out of reach, but ongoing work in the field has allowed for a limbic monitoring system that searches for and denotes objects of interest, pinging them with gentle neural tugs or, if connected to sensory cyber/devices, actual sounds or visual flags to ensure they’re noticed. This raises the user’s Mental limit for Perception tests by 1.","Objects are identified and tagged based on their recognition via central database. This results in a +1 dice pool bonus to all Perception tests.",SR5:CF,1,0,1,MentalLimit:1,
91,Chipjack,6,1,Cyberware,Head,"Rating x 0.05",-,"Rating x 2","Rating x 1,000¥","The return of an old classic! This expanded bay allows a number of additional, physical skillchips to be slotted into a user’s skilljack, saving time from manual switching. The chipjack further comes with an expanded buffer, allowing more chips to be accessed simultaneously, though the raw power of those chips is controlled by the strength of the core skilljack processor. Note that chipjacks are not compatible with hardwires. A standard skilljack (p. 452, SR5) allows its user to employ knowsofts, linguasofts, and (with skillwires) activesofts. It can run multiple skillsofts at once, provided the total skillsoft Ratings do not exceed the skilljack Rating x2 (or x3 with the wireless bonus). Individual skillsofts cannot have a Rating higher than the skilljack Rating. Inactive skillsofts are kept in storage; unloading skillsofts and loading new ones from storage is a Free Action. Each chipjack Rating adds one slot for an additional, physical skillchip that can be accessed by the skilljack along with any skillsofts already in storage. In addition, the chipjack Rating adds to the skilljack Rating when determining the total skillsoft Ratings that can run simultaneously. For example, a Rating 1 chipjack paired with a Rating 3 skilljack can handle a total of (1 + 3) x2 = 8 skillsoft Ratings (or 12 with wireless enabled). The maximum Rating of any single skillsoft is still the skilljack Rating, however.",NULL,SR5:CF,1,0,0,,
92,"Dream Link",1,1,Cyberware,Head,0.1,-,8,"1,000¥","This unusual device allows the user to record their dreams, creating a simsense record that may then be reviewed and re-experienced as the user wishes. Copies may be created and shared but are often difficult in the extreme to understand without additional simsense recordings, such as from a simrig. Dream links may also be used when awake, retaining up to one hour of active thought for examination and replay.",NULL,SR5:CF,1,0,0,,
93,"False Face",1,1,Cyberware,Head,0.5,[8],12R,"20,000¥","Intended for use by actors, shadowrunners quickly found other uses for the false face, resulting in it being restricted in most countries and corporations. The bones of the face are replaced with dozens of small ceramic plates that may be adjusted and rotated by micro-servos implanted beneath them. Combined with small reservoirs of gel that allow inflation or deflation of facial features, this allows the user to resculpt their face to any possible version of their metatype, regardless of ethnicity. False face provides a +4 dice pool bonus to a character’s Disguise + Intuition Test. Changing one’s face takes 1 minute of concentration and is somewhat painful.","The user may access a list of faces that they have previously created, allowing a transformation in half a minute.",SR5:CF,1,0,1,,Disguise:4
94,"Knowledge Hardwires",6,1,Cyberware,Head,"Rating x 0.05",-,Rating,"Rating x 2,000¥","The classics never really die, they just get shunted to overlooked nations. Skill hardwires have been around since the ’50s but fell out of favor with prosperous countries due to the simple fact that a permanent installation of a skill isn’t the best investment in today’s ever- changing economic conditions. In less resource-rich parts of the world, however, the ability to simply absorb a medical degree or legal complexities can’t be overstated. KITT is the biggest supplier, naturally, but Renraku keeps Africa well-stocked with hardwires, though they focus more on Active skills than Knowledge skills. Knowledge hardwires are simply an implanted skillchip and a processor designed to run only that single skill. The skill can be neither upgraded nor replaced without removing the entire unit and implanting a new one. On the positive side, you may have several knowledge hardwire units installed, giving you access to a wide array of abilities. Note that the hardwire Rating must be equal to or greater than the Knowledge skill installed into it.",NULL,SR5:CF,1,0,0,,
95,"Math SPU",1,1,Cyberware,Head,0.1,[1],8,"2,000¥","This is cranial subprocessing unit (SPU) is dedicated to running mathematical functions, freeing up more grey matter for other activities. It also keeps time accurate to four decimal places, includes a note-taking calendar, and can keep track of up to ten separate timing matters simultaneously, such as “How long is this movie” or “How long until the popcorn is done?” or “What time will my download finish?” A math SPU adds +4 to a user’s Mathematics Knowledge skill, and raises the Mental limit for scientific or technical Knowledge skills by 1.",NULL,SR5:CF,1,0,1,MentalLimit:1,Mathematics:4
96,"Orientation System",1,1,Cyberware,Head,0.2,[1],4,"0,500¥","In addition to serving as a global positioning system (GPS), this upgrade includes an internal gyroscope (for when GPS signals are unavailable), an internal compass, an inertial compass, an altimeter, a barometer, and an external port for holding a mapsoft. It doesn’t include a display, so some kind of overlay (such as an imagelink in cyber-eyes) or other visual aid, is needed to process data properly. The orientation system can further chart paths, provide redline instruction (projected via AR to your field of vision via your PAN), make projections, measure your time of travel, distance, and ETA, as well as record your path for future map updating. This increases the user’s Mental limit by 2 for all Navigation Tests.","The user gains +2 dice to all Navigation test. In addition, new mapsofts may be accessed wirelessly.",SR5:CF,1,0,1,MentalLimit:2,
97,"Radar Sensor",4,1,Cyberware,Head,"Rating x 0.25",[Rating],"Rating x 3","Rating x 4,000¥","Consisting of a terahertz pulse-transmitter, receiver, and highly advanced processing unit, this unit computes differences in the Doppler shift between the user and the surrounding area, within a twenty-meter radius. This allows the user to view a three-dimensional map of the area and the elements contained therein, if in a vague, blocky manner. The radio pulses are able to pass through most solid matter, allowing the user to “look” through walls, clothes, and similar obstructions to see the outlines of what lies beyond. While individuals cannot be recognized at the resolution of the processing, shapes can give some suggestion of what items might be (tables, guns, balls, and so forth). The system is excellent at detecting motion, calculating exact distance (when combined with a math SPU), and accurately overseeing floorplans and the locations of persons and objects in that area. It is somewhat complex to sift through the data for a proper reading (a Simple Action is required), and while it can ignore Invisibility spells (but not Improved Invisibility spells) and many camouflage methods, it cannot discern color, lighting, or texture. The radar sensor uses the same Visibility modifiers as ultrasound but can penetrate a cumulative Structure Rating equal to its own Rating x 5. Thus, a Rating 2 radar sensor can penetrate two Rating 5 walls, or a single Rating 10 wall, or three Rating 3 walls, etc. Radar systems are especially vulnerable to jamming and noise, suffering double the usual disruption. Radar pulses are detectable by any wireless device, but most won’t be able to identify them as anything more than background noise.",NULL,SR5:CF,1,0,1,,
98,Synthlink,1,1,Cyberware,Head,0.1,[1],4,"1,000¥","A simple interface akin to a smartlink that allows the user to interface with smart instruments, improving the link between musician and instrument. Smart instruments cost twice as much as standard instruments. Users who are equipped with linked “synthstruments” have their Social limit increased by 2 for performing.","The user gains a +2 dice pool bonus to performance skills employing linked synthstruments.",SR5:CF,1,0,1,SocialLimit:2,
99,Visualizer,1,1,Cyberware,Head,0.1,-,8,"2,000¥","One of the most-beloved creations of the past five years, the visualizer allows the user to export a 2D or 3D image from their mind to augmented reality, or directly to paper by interfacing with a wireless printer. It requires extensive concentration and rare mental imaging ability to create more than a rough realization of the image in someone’s head (use a Memory Test, p. 152, SR5, to determine how many relevant details the individual is able to visualize), but it’s an emerging art form. It takes between five seconds (for a simple geometric design) to an hour (for detailed landscapes or persons) to create the image.",NULL,SR5:CF,1,0,0,,
100,"Voice Mask",1,1,Cyberware,Head,0.1,-,8F,"2,000¥","A much-downgraded version of the voice modulator, the voice mask doesn’t allow for modification of the volume or frequency of the user’s voice, nor does it allow recording, rebroadcasting, or replication of someone else’s voice. What it does, however, is use dissonant frequencies to totally distort the user’s voice and make it completely unrecognizable and useless for identification.",NULL,SR5:CF,1,0,0,,
101,"Cybereyes R1",1,1,Cyberware,Eye,0.2,4,3,"4,000¥","The basic cybereyes system features 20/20 vision for both eyes, an image link, and a built-in camera at no extra cost, as well as capacity for vision enhancements.",NULL,Core,1,1,0,,
102,"Cybereyes R2",2,2,Cyberware,Eye,0.3,8,6,"6,000¥","The basic cybereyes system features 20/20 vision for both eyes, an image link, and a built-in camera at no extra cost, as well as capacity for vision enhancements.",NULL,Core,1,1,0,,
103,"Cybereyes R3",3,3,Cyberware,Eye,0.4,12,9,"10,000¥","The basic cybereyes system features 20/20 vision for both eyes, an image link, and a built-in camera at no extra cost, as well as capacity for vision enhancements.",NULL,Core,1,1,0,,
104,"Cybereyes R4",4,4,Cyberware,Eye,0.5,16,12,"14,000¥","The basic cybereyes system features 20/20 vision for both eyes, an image link, and a built-in camera at no extra cost, as well as capacity for vision enhancements.",NULL,Core,1,1,0,,
105,"Flare Compensation",1,1,Cyberware,Eye,0.1,[1],4,"1,000¥","An implanted version of the flare compensation enhancement. This protects you from blinding flashes of light as well as simple glare. It mitigates the vision modifiers for glare and reduces the penalty from flashing lights, like from a flash-pak.",NULL,Core,1,0,1,,
106,"Image Link",1,1,Cyberware,Eye,0.1,*,4,"1,000¥","An implanted version of the image link enhancement. A standard upgrade, this lets you display visual information (text, pictures, movies, the current time, etc.) in your field of vision. This is usually AROs, but you can display pretty much whatever you want on it. You and your team can use it to share tactical and situational info in real time. An image link is what you need to truly â€œseeâ€� AR and participate in the modern world.",NULL,Core,1,0,0,,
107,"Low-Light Vision",1,1,Cyberware,Eye,0.1,[2],4,"1,500¥","An implanted version of the low-light vision enhancement. This accessory allows you to see normally in light levels as low as starlight. It doesnâ€™t help in total darkness, though.",NULL,Core,1,0,1,,
108,"Ocular Drone",1,1,Cyberware,Eye,-,[6],6,"6,000¥","This enhancement only affects one eyeball per purchase. A small spyball drone is placed in your ocular cavity. The spyball functions as a normal cybereye (with all the relevant enhancements) until you remove it and control it as though it were aÂ Horizon Flying Eye. When itâ€™s out and you have only one eye, you suffer a â€“3 dice pool penalty to all tasks. If you replace both eyes with drones, youâ€™re effectively blind while those drones are operating apart from you. An ocular drone is obviously not available as a retinal modification.",NULL,Core,0,0,1,,
109,"Retinal Duplication",6,1,Cyberware,Eye,0.1,[1],16F,"Rating x 20,000¥","This highly illegal modification can be loaded with a recording of someone elseâ€™s retina to create an almost perfect reproduction. Make an Opposed Test between the retinal duplication Rating and the retinal scanner Rating (Security Devices, p. 362).",NULL,Core,1,0,1,,
110,Smartlink,1,1,Cyberware,Eye,0.2,[3],8R,"4,000¥","An implanted version of the smartlink vision enhancement (p. 444). Note that a smartlink installed in a natural eye or in a pair of cybereyes is more effective than a smartlink installed in an external device: see Smartgun System, p. 444.",NULL,Core,1,0,1,,
111,"Thermographic Vision",1,1,Cyberware,Eye,0.1,[2],4,"1,500¥","An implanted version of the thermographic vision enhancement (p. 444).",NULL,Core,1,0,1,,
112,"Vision Enhancement",3,1,Cyberware,Eye,0.1,[Rating],"Rating x 3","Rating x 4,000¥","An implanted version of vision enhancement (p. 444).",NULL,Core,1,0,1,MentalLimit:[Rating],
113,"Vision Magnification",1,1,Cyberware,Eye,0.1,[2],4,"2,000¥"," An implanted version of the vision magnification enhancement (p. 444).",NULL,Core,1,0,1,,
