Row,Name,Type,SubType,MinRating,MaxRating,Capacity,Availability,Cost,Description,Source,Accuracy,DamageValue,DamageMod,Blast,ArmorPenetration,DataProcessing,Firewall,Vector,Speed,Penetration,Power,Effects,Max,Wireless
155,Miniwelder,Security,"B&E Gear",0,0,,2,250¥,"This portable device creates a small electric arc to melt metals, either to cut through metal or to weld it together. Its power supply allows it to operate for 30 minutes. While creating an intense heat, the arc is much too small to make a good weapon (it would be like trying to stab someone with a lighter). The miniwelder has a Damage Value of 25 when used to cut through barriers.",Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
156,"Miniwelder fuel canister",Security,"B&E Gear",0,0,,2,80¥,,Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
157,"Monofilament chainsaw",Security,"B&E Gear",0,0,,8,500¥,"The top of each chain segment on this portable motorized saw is covered with monofilament wire. Ideal for cutting through trees, doors, and other immovable objects. A monofilament chainsaw is too unwieldy to make a good melee weapon (use Exotic Melee Weapon skill). When used against barriers, double the monofilament chainsaw’s Damage Value of 8P.",Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
158,Sequencer,Security,"B&E Gear",1,6,,"(Rating x 3)F","Rating x 250¥","An electronic device requried to defeat keypad-maglocks (see Maglocks).",Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,"The sequencer receives a +1 bonus to its Rating."
164,"Grapple gun",Security,"Grapple Gun",0,0,,8R,500¥,"This gun can shoot a grappling hook and attached rope, using Light Crossbow ranges. It comes equipped with an internal winch to pull back the grapple (or pull up small loads). Use the Exotic Ranged Weapon skill to shoot it. Micro rope can support a weight of up to 100 kilograms; standard and stealth ropes can support a weight of up to 400 kilograms.",Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
165,"Catalyst stick",Security,"Grapple Gun",0,0,,8F,120¥,"When stealth rope is touched with the catalyst stick, the chemical reaction that is triggered crumbles the rope to dust within seconds, leaving almost no trace. The catalyst stick is reusable.",Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
166,Microwire,Security,"Grapple Gun",0,0,,4,"50¥ per 100 m","This micro rope is made of an extremely thin (nearly monofilament) and resilient fiber; a great length of it can be stored in a very small compartment, and it is very difficult to see. The downside is that it can only be grabbed with protective rappelling gloves without slicing straight through the climber’s hands, inflicting 8P damage with an AP of –8",Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
167,"Myomeric rope",Security,"Grapple Gun",0,0,,10,"200¥ per 10 m","Made of a special myomeric fiber, this rope’s movement can be controlled remotely (over a maximum length of thirty meters). For example, the controller can wind it like a snake to reach around an obstacle or tie to a ledge. The rope moves at a rate of two meters per Combat Turn.",Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
168,"Standard rope",Security,"Grapple Gun",0,0,,,"50¥ per 100 m",,Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
169,"Stealth rope",Security,"Grapple Gun",0,0,,8F,"85¥ per 100 m","When stealth rope is touched with the catalyst stick, the chemical reaction that is triggered crumbles the rope to dust within seconds, leaving almost no trace.",Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
170,"Bug Scanner",Security,Communications,1,6,,(Rating)R,"Rating x 100¥","Also called a radio signal scanner, this device locates and locks in wireless devices within 20 meters. The scanner can also measure a signal’s strength and pinpoint its location. To operate a bug scanner, roll Electronic Warfare + Logic [Rating]. A device that is running silent (like a Stealth tag) can use its Logic + Sleaze to defend against the scan. If you get any net hits at all, you find the device.",Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,"You may substitute the scanner’s Rating for your Electronic Warfare skill when you use it."
176,"Data Tap",Security,Communications,0,0,,6R,300¥,"You use this hacking tool by attaching it to a data cable. Once it’s clamped onto the cable, you can use it via universal data connector. Any device directly connected to the data tap also has a direct connection with the devices on either end of the cable and vice versa. The tap can be removed without damaging the cable.",Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,"The data-tap can be wirelessly commanded to self-destruct as a Free Action, immediately and instantly severing the direct connection. This does not harm the cable."
177,Headjammer,Security,Communications,1,6,,(Rating)R,"Rating x 150¥","The headjammer is used by security personnel to neutralize implanted commlinks. When it’s attached to your head (or other body part) and activated, it works in the same way as any other jammer, with its effects limited to you and your augmentations. Removing a headjammer from someone without the proper key requires a Hardware + Logic [Mental] or a Locksmith + Agility [Physical] (8, 1 Complex Action) Extended Test. Removing a Headjammer from yourself without the proper key is an Escape Artist + Agility [Physical] (4) Test, requiring a Complex Action.",Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
183,"Jammer, Area",Security,Communications,1,6,,"(Rating x 3)F","Rating x 200¥","This device floods the airwaves with electromagnetic jamming signals to block out wireless and radio communication. The jammer generates noise equal to its Device Rating. The area jammer affects a spherical area—its rating is reduced by 1 for every 5 meters from the center (similar to the blast rules for grenades). The jammer only affects devices (and personas on those devices) that are within the jamming area, but it affects all of them. Walls and other obstacles may prevent the jamming signal from spreading or reduce its effect (gamemaster’s discretion).",Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,"You can set your jammer to not interfere with devices and personas you designate."
189,"Jammer, Directional",Security,Communications,1,6,,"(Rating x2)F","Rating x 200¥","This device floods the airwaves with electromagnetic jamming signals to block out wireless and radio communication. The jammer generates noise equal to its Device Rating. The directional jammer affects a conical area with a 30-degree spread—its rating is reduced by 1 for every 20 meters from the center. The jammer only affects devices (and personas on those devices) that are within the jamming area, but it affects all of them. Walls and other obstacles may prevent the jamming signal from spreading or reduce its effect (gamemaster’s discretion).",Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,"You can set your jammer to not interfere with devices and personas you designate."
195,Micro-Transceiver,Security,Communications,0,0,,2,100¥,"This classic short-range communicator has been favored by professional operatives since the 2050s. It doesn’t do anything special, it just lets you communicate by voice with other micro-transceivers and commlinks that you (and the other person) choose, within a kilometer. The micro-transceiver consists of an ear bud and an adhesive subvocal microphone, both of which are commonly available in hard-to-spot designs.",Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,"The micro-transceiver’s range becomes worldwide."
196,"Tag Eraser",Security,Communications,0,0,,6R,450¥,"This handheld device creates a strong electromagnetic field perfect for burning out RFID tags and other unshielded electronics. It is probably strong enough to destroy a commlink, and you might want to keep it away from your cyberdeck just in case. When you bring the eraser within 5 millimeters of an electronic device and push the button, the device takes 10 boxes of Matrix damage (resisted normally). The extremely short range makes it hard to use on targets like vehicles, most drones, maglocks, and cyberware (and by the time you open them up to get at the electronics, you’ve already done plenty of damage). The tag eraser has one charge but can be fully recharged at a power point in 10 seconds.",Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,"The tag eraser recharges fully in an hour by induction."
197,"White Noise Generator",Security,Communications,1,6,,Rating,"Rating x 50¥","This device creates a field of random noise, masking the sounds within its area and preventing direct audio surveillance. All Perception Tests to overhear a conversation within (Rating) meters of a white noise generator receive a negative dice pool modifier equal to the generator’s Rating. If more than one generator is in use, only count the highest rating. A white noise generator is redundant in a noisy environment (such as a nightclub or a firefight) and does not help to curtail video surveillance or jam wireless signals.",Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,"The white noise generator’s effective radius is tripled."
203,"Standard Ram",Security,"Battering Ram",0,0,,10R,"2,000¥","A metal tube weighing approximately 20 kilograms with a blunted end and handles along the sides, this is a no-frills entry tool that relies on the user’s Strength for breaching. The standard ram is normally used by one individual, but heavier versions are available and can be used by two average humans.",SR5:R&G,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
204,"Fluid-Motion Ram",Security,"Battering Ram",0,0,,10R,"3,500¥","The same as the standard battering ram, but it includes an internal ten-liter liquid reservoir. When used, the ram is swung backwards and then forward to strike the target. On impact the internal fluid in the ram creates extra momentum that increases the impact damage. Very useful against more durable doors, but using it requires two average-size humans or one average-size troll.",SR5:R&G,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
205,"Pneumatic Ram",Security,"Battering Ram",0,0,,18R,"10,000¥","Also known as the P-Ram, a pneumatic ram’s breaching power comes from a large, battery-powered pneumatic piston. A P-Ram is too large and heave to be swung. The quad-legged device is securely positioned at the door or barrier before operation and triggered by a touch pad or wirelessly. Its power comes at the expense of mobility; it requires a four-person team of average humans to deploy.",SR5:R&G,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
206,"Shock Ram",Security,"Battering Ram",0,0,,10R,"15,000¥","Users call it the Shock Knocker. It’s a shock ram is designed to disable electronic locks or defenses when it breaches a door or barrier. Four large conductive spikes protrude from the ram’s head that penetrates the barrier to deliver the charge. A metahuman in contact with the barrier or the spikes must resist shock damage per normal rules. Shock rams can be wirelessly discharged. Though an effective breaching tool, a shock ram requires frequent maintenance and constant monitoring, as repeated use can damage the mechanism and insulating protective casing. A glitch on a use test results in the batteries failing; a critical glitch results in a shock to the operator.",SR5:R&G,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
207,Aexd,Medical,Drug,0,0,,4,80¥,,SR5:CF,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
208,Aisa,Medical,Drug,0,0,,4,25¥,,SR5:CF,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
209,"Animal Tongue",Medical,Drug,0,0,,6R,"1,500¥",,SR5:CF,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
210,"Ayao’s Will",Medical,Drug,0,0,,14F,750¥,,SR5:CF,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
211,Betameth,Medical,Drug,0,0,,5F,30¥,,SR5:CF,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
212,Betel,Medical,Drug,0,0,,4,5¥,,SR5:CF,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
213,Bliss,Medical,Drug,0,0,,3F,15¥,"A tranquilizing narcotic, bliss is an opiate synthesized from poppy plants. It takes its name from the sensations its users feel. Players attempting to roleplay a bliss user may want to focus on the escapist angle, using the drug to block out the chaotic or unsatisfying world.",Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
214,"Caldwell Lily Extract",Medical,Drug,0,0,,10R,600¥,,SR5:SSo,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
215,"Caldwell Lily Extract (Concentrated)",Medical,Drug,0,0,,12R,"1,000¥",,SR5:SSo,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
216,Cereprax,Medical,Drug,0,0,,14F,800¥,,SR5:CF,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
217,"Chloral Hydrate",Medical,Drug,0,0,,6R,50¥,,SR5:SSo,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
218,Chloroform,Medical,Drug,0,0,,4R,75¥,,SR5:SSo,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
219,Cram,Medical,Drug,0,0,,2R,10¥,"Cram is an extremely popular stimulant. When this drug wears off, users crash and suffer 6 Stun damage (unresisted). Cram users appear hyper-alert, almost to the point of paranoia. They react quickly, often without thought, and they’re prone to irrational outbursts. Other common side effects are jitteriness and fidgeting.",Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
220,"Crimson Orchid",Medical,Drug,0,0,,6F,300¥,,SR5:CF,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
221,Deepweed,Medical,Drug,0,0,,8F,400¥,"Deepweed is a narcotic derived by Caribbean houngans from an Awakened form of kelp. It’s extremely enticing to the Awakened and is sometimes used to dose targets for possession. Deepweed forces any magically active user to astrally perceive, even if the user is an adept without the astral perception ability. Once its effects have worn off, deepweed users suffer a –1 to all dice pool modifiers and –1 to all limits for the same duration as the initial effect. There are dangers inherent in forced astral perception, such as attracting unwanted attention. Role-playing the effects of deepweed may mean portraying someone who seems not completely “present,” since they aren’t.",Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
222,Dmso,Medical,Drug,0,0,,5R,50¥,,SR5:SSo,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
223,Dopadrine,Medical,Drug,0,0,,8,45¥,,SR5:CF,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
224,eX,Medical,Drug,0,0,,3R,20¥,,SR5:CF,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
225,Forget-Me-Not,Medical,Drug,0,0,,10F,400¥,,SR5:CF,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
226,Galak,Medical,Drug,0,0,,4R,45¥,,SR5:CF,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
227,Gamma-Scoplomine,Medical,Drug,0,0,,14F,200¥,,SR5:SSo,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
228,G3,Medical,Drug,0,0,,2,15¥,,SR5:CF,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
229,Guts,Medical,Drug,0,0,,8R,60¥,,SR5:CF,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
230,"Hecate’s Blessing",Medical,Drug,0,0,,12F,500¥,,SR5:CF,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
231,Hurlg,Medical,Drug,0,0,,2R,10¥,,SR5:CF,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
232,"Immortal Flower",Medical,Drug,0,0,,14R,"2,500¥",,SR5:CF,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
233,Jazz,Medical,Drug,0,0,,2R,75¥,"Jazz is a stimulant designed to better the odds for run-of-the-mill law-enforcement officers who run up against augmented street samurai. It’s usually taken from a single-dose inhaler (or “popper”). When jazz wears off, the user crashes and is flooded with despondent and miserable emotions, suffering the effects of Disorientation (p. 409) for a duration equal to the duration of the initial effect. While cram makes people hyper and twitchy, jazz makes people jumpy and hyper as caffeinated two-yearolds. Role-playing a jazz user means turning it up a notch, portraying someone with too much energy to burn.",Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
234,K-10,Medical,Drug,0,0,,16F,900¥,,SR5:CF,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
235,Kamikaze,Medical,Drug,0,0,,4R,100¥,"Kamikaze is a tailored combat stimulant. When kamikaze wears off, the user crashes and suffers –1 Reaction, –1 Willpower, and –2 to all Limits for a duration equal to that of the initial effect. He also suffers 6 Stun damage (unresisted). The repeated use of kamikaze has a destructive effect on the user’s metabolism. Large doses can cause excitement, tremors, momentary euphoria, and dilated pupils. Excess doses (bordering on overdose level) cause anxiety, hallucinations, and uncontrolled muscular movements. Even higher dosages lead to death. Kamikaze users are near-crazed, filled with a feeling of imperviousness and invincibility, exhibiting almost no regard for their own well-being. They can be entertaining to watch, as long as you’re not in front of them.",Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
236,Laés,Medical,Drug,0,0,,12F,750¥,,SR5:CF,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
237,Leäl,Medical,Drug,0,0,,10F,400¥,,SR5:CF,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
238,"Liquid Nutrients",Medical,Drug,0,0,,4R,75¥,,SR5:SSo,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
239,"Little Smoke",Medical,Drug,0,0,,12F,"1,800¥",,SR5:CF,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
240,"Long Haul",Medical,Drug,0,0,,,50¥,"A combination of synthesized hormones and other brain-regulating chemicals, long haul stimulates the brain and keeps the user awake, obviating the need for sleep. A character dosed on long haul can remain awake for four days—without incurring any modifiers from fatigue or weariness. After this time, however, the user immediately passes out and sleeps soundly for 8D6 hours. If the character is kept awake during this period, he suffers from disorientation (p. 409) as he is afflicted with hallucinations and an inability to concentrate. If a second dose of long haul is taken after the first has worn off, the character can stay awake an additional 1D6 ÷ 2 days. After that period, he suffers 10 Stun damage (unresisted) and must crash as detailed above. Long haul cannot keep a character awake past this point, no matter how many additional doses are administered.",Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
241,"Memory Fog",Medical,Drug,0,0,,6R,100¥,,SR5:CF,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
242,Narcoject,Medical,Drug,0,0,,8R,50¥,,SR5:SSo,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
243,Nightwatch,Medical,Drug,0,0,,3R,25¥,,SR5:CF,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
244,Nitro,Medical,Drug,0,0,,2R,50¥,"A dangerous combination of potent drugs favored by troll gangers, nitro is a powerful stimulant that can easily kill a user. After the drug’s effects wear off, the subject suffers –2 to all limits and takes 9 Stun damage (unresisted) for an equal duration. Nitro users feel infused with energy, suffer a diminished attention span, and talk incessantly (even to themselves).",Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
245,Nopaint,Medical,Drug,0,0,,3,15¥,,SR5:CF,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
246,"Normal Saline",Medical,Drug,0,0,,,30¥,,SR5:SSo,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
247,Novacoke,Medical,Drug,0,0,,2R,10¥,"A stimulant derived from coca plants, novacoke is a highly addictive social drug. After the drug wears off, Charisma and Willpower are both reduced to 1, and all limits are at –1 for a duration equal to the duration of the initial effect.",Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
248,Oneiro,Medical,Drug,0,0,,6F,"1,250¥",,SR5:CF,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
249,"Oxygenated Fluorocarbons",Medical,Drug,0,0,,12R,"2,000¥",,SR5:CF,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
250,Overdrive,Medical,Drug,0,0,,10F,800¥,,SR5:CF,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
251,"Pixie Dust",Medical,Drug,0,0,,8F,800¥,,SR5:CF,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
252,"Psychchips (Illegal)",Medical,Drug,0,0,,6F,500¥,,SR5:CF,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
253,"Psychchips (Legal)",Medical,Drug,0,0,,4R,350¥,,SR5:CF,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
254,Psyche,Medical,Drug,0,0,,,200¥,"This designer stimulant is especially prized by magicians and technomancers alike. In addition to the effects noted above, Awakened users also only suffer a –1 dice pool modifier for each sustained spell (rather than the standard –2). Psyche users are simultaneously hyper- aware and detached, easily absorbed by detail and obsessive about certain facts or problems.",Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
255,Push,Medical,Drug,0,0,,4F,25¥,,SR5:CF,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
256,"Red Mescaline",Medical,Drug,0,0,,4R,50¥,,SR5:CF,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
257,Ripper,Medical,Drug,0,0,,6F,60¥,,SR5:CF,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
258,"Rock Lizard Blood",Medical,Drug,0,0,,10R,"1,700¥",,SR5:CF,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
259,Shade,Medical,Drug,0,0,,6R,"1,000¥",,SR5:CF,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
260,Slab,Medical,Drug,0,0,,8R,250¥,,SR5:CF,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
261,Snuff,Medical,Drug,0,0,,1R,10¥,,SR5:CF,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
262,"Sober Time",Medical,Drug,0,0,,6F,125¥,,SR5:CF,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
263,Soothsayer,Medical,Drug,0,0,,12F,150¥,,SR5:CF,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
264,Trance,Medical,Drug,0,0,,10F,"1,100¥",,SR5:CF,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
265,Woad,Medical,Drug,0,0,,3R,15¥,,SR5:CF,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
266,Wudu’aku,Medical,Drug,0,0,,12F,"2,350¥",,SR5:CF,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
267,Zen,Medical,Drug,0,0,,4R,5¥,"A psychedelic hallucinogen, zen is popular among those looking to escape reality or seeking trance-like states.",Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
268,Zero,Medical,Drug,0,0,,8R,150¥,,SR5:CF,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
269,"Zombie Dust",Medical,Drug,0,0,,12F,"1,500¥",,SR5:CF,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
270,Biomonitor,Medical,Biotech,0,0,,3,300¥,"This compact device measures life signs—heart rate, blood pressure, temperature, and so on. The biomonitor can also analyze blood, sweat, and skin samples. Used by medical services and patients who need to monitor their own health, biomonitors can be worn as an armband or wristband or integrated into clothing or commlinks.",Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,"The biomonitor shares information with other wireless devices you designate and can auto-alert DocWagon or another ambulance service if your life signs reach certain thresholds."
271,"Disposable syringe",Medical,Biotech,0,0,,3,10¥,"Made of plastic with a metal needle, syringes are intended for a single use. Syringes can be used to apply injection-vector toxins. An uncooperative victim might need to be immobilized or at least grappled first.",Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
272,Medkit,Medical,Biotech,1,6,,Rating,"Rating x 250¥","The medkit includes drug supplies, bandages, tools, and a (talkative) doctor expert system that can advise the user on techniques to handle most typical medical emergencies (including fractures, gunshot wounds, chemical wounds, and poisoning, as well as offering advice for the treating of shock, handling blood loss, and of course performing resuscitations). Add the medkit’s rating to your limit on First Aid tests. A medkit of Rating 3 or lower fits in a pocket; at Rating 4+ it’s a handheld case. The medkit needs to be restocked after every (Rating) uses.",Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,"The Medkit provides a dice pool bonus equal to its rating to First Aid + Logic tests, or can operate itself with a dice pool of Medkit Rating x 2 and a limit equal to its Rating."
278,"Medkit Supplies",Medical,Biotech,0,0,,,100¥,,Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
279,Basic,Medical,"DocWagon Contract",0,0,,,"5,000¥ per year","Don’t leave home without it! DocWagon offers first-class emergency medical care on a twenty-four-hour basis, and they come to you! Four contract service levels are available: basic, gold, platinum, and super-platinum. A DocWagon contract requires the filing of tissue samples (held in a secure vault staffed by bonded guards, spiders, and mages) and comes with a biomonitor RFID tag implant or wristband that can be activated to call for help and then to serve as a homing beacon for DocWagon armed ambulances and fast-response choppers in the area. Rupture of the band will also alert DocWagon representatives.
Upon receiving a call from a contract-holder, DocWagon franchises guarantee arrival of an armed trauma team in less than ten minutes, or else the emergency medical care is free. Resuscitation service carries a high premium (5,000 nuyen), as does High Threat Response (HTR) service (5,000 nuyen). In the latter case, the client or their next of kin is expected to pay medical bills up to and including death compensation for DocWagon employees (20,000 nuyen per cold body).
Gold service includes one free resuscitation per year, a fifty percent reduction on HTR service charges, and a ten percent discount on extended care. Platinum service includes four free resuscitations per year and a fifty percent discount on extended care. There is no charge for HTR services, but employee death compensation still applies. Super-platinum subscribers are entitled to five free resuscitations a year and do not have to pay for HTR services or death compensation.
Doc Wagon does not respond to calls on extraterritorial government or corporate property without permission from the controlling authority.",Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
280,Gold,Medical,"DocWagon Contract",0,0,,,"25,000¥ per year","Don’t leave home without it! DocWagon offers first-class emergency medical care on a twenty-four-hour basis, and they come to you! Four contract service levels are available: basic, gold, platinum, and super-platinum. A DocWagon contract requires the filing of tissue samples (held in a secure vault staffed by bonded guards, spiders, and mages) and comes with a biomonitor RFID tag implant or wristband that can be activated to call for help and then to serve as a homing beacon for DocWagon armed ambulances and fast-response choppers in the area. Rupture of the band will also alert DocWagon representatives.
Upon receiving a call from a contract-holder, DocWagon franchises guarantee arrival of an armed trauma team in less than ten minutes, or else the emergency medical care is free. Resuscitation service carries a high premium (5,000 nuyen), as does High Threat Response (HTR) service (5,000 nuyen). In the latter case, the client or their next of kin is expected to pay medical bills up to and including death compensation for DocWagon employees (20,000 nuyen per cold body).
Gold service includes one free resuscitation per year, a fifty percent reduction on HTR service charges, and a ten percent discount on extended care. Platinum service includes four free resuscitations per year and a fifty percent discount on extended care. There is no charge for HTR services, but employee death compensation still applies. Super-platinum subscribers are entitled to five free resuscitations a year and do not have to pay for HTR services or death compensation.
Doc Wagon does not respond to calls on extraterritorial government or corporate property without permission from the controlling authority.",Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
281,Platinum,Medical,"DocWagon Contract",0,0,,,"50,000¥ per year","Don’t leave home without it! DocWagon offers first-class emergency medical care on a twenty-four-hour basis, and they come to you! Four contract service levels are available: basic, gold, platinum, and super-platinum. A DocWagon contract requires the filing of tissue samples (held in a secure vault staffed by bonded guards, spiders, and mages) and comes with a biomonitor RFID tag implant or wristband that can be activated to call for help and then to serve as a homing beacon for DocWagon armed ambulances and fast-response choppers in the area. Rupture of the band will also alert DocWagon representatives.
Upon receiving a call from a contract-holder, DocWagon franchises guarantee arrival of an armed trauma team in less than ten minutes, or else the emergency medical care is free. Resuscitation service carries a high premium (5,000 nuyen), as does High Threat Response (HTR) service (5,000 nuyen). In the latter case, the client or their next of kin is expected to pay medical bills up to and including death compensation for DocWagon employees (20,000 nuyen per cold body).
Gold service includes one free resuscitation per year, a fifty percent reduction on HTR service charges, and a ten percent discount on extended care. Platinum service includes four free resuscitations per year and a fifty percent discount on extended care. There is no charge for HTR services, but employee death compensation still applies. Super-platinum subscribers are entitled to five free resuscitations a year and do not have to pay for HTR services or death compensation.
Doc Wagon does not respond to calls on extraterritorial government or corporate property without permission from the controlling authority.",Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
282,Super-platinum,Medical,"DocWagon Contract",0,0,,,"100,000¥ per year","Don’t leave home without it! DocWagon offers first-class emergency medical care on a twenty-four-hour basis, and they come to you! Four contract service levels are available: basic, gold, platinum, and super-platinum. A DocWagon contract requires the filing of tissue samples (held in a secure vault staffed by bonded guards, spiders, and mages) and comes with a biomonitor RFID tag implant or wristband that can be activated to call for help and then to serve as a homing beacon for DocWagon armed ambulances and fast-response choppers in the area. Rupture of the band will also alert DocWagon representatives.
Upon receiving a call from a contract-holder, DocWagon franchises guarantee arrival of an armed trauma team in less than ten minutes, or else the emergency medical care is free. Resuscitation service carries a high premium (5,000 nuyen), as does High Threat Response (HTR) service (5,000 nuyen). In the latter case, the client or their next of kin is expected to pay medical bills up to and including death compensation for DocWagon employees (20,000 nuyen per cold body).
Gold service includes one free resuscitation per year, a fifty percent reduction on HTR service charges, and a ten percent discount on extended care. Platinum service includes four free resuscitations per year and a fifty percent discount on extended care. There is no charge for HTR services, but employee death compensation still applies. Super-platinum subscribers are entitled to five free resuscitations a year and do not have to pay for HTR services or death compensation.
Doc Wagon does not respond to calls on extraterritorial government or corporate property without permission from the controlling authority.",Core,NULL,NULL,NULL,NULL,NULL,0,0,,,0,0,,0,
